Date_Reach,no-data: -1,non-water: 0,water: 1
JRC_GSW1_4_Monthlyhistory_Ganges_1999-03_r4,0,500000,0
JRC_GSW1_4_Monthlyhistory_Ganges_2000-03_r4,0,40956,405477
JRC_GSW1_4_Monthlyhistory_Ganges_2001-03_r4,0,500000,0
JRC_GSW1_4_Monthlyhistory_Ganges_2002-03_r4,0,239,440860
JRC_GSW1_4_Monthlyhistory_Ganges_2003-03_r4,0,4414,443558
JRC_GSW1_4_Monthlyhistory_Ganges_2004-03_r4,0,225,446378
JRC_GSW1_4_Monthlyhistory_Ganges_2005-03_r4,0,992,440875
JRC_GSW1_4_Monthlyhistory_Ganges_2006-03_r4,0,563,444910
JRC_GSW1_4_Monthlyhistory_Ganges_2007-03_r4,0,412,443957
JRC_GSW1_4_Monthlyhistory_Ganges_2008-03_r4,0,214,448634
JRC_GSW1_4_Monthlyhistory_Ganges_2009-03_r4,0,3989,439129
JRC_GSW1_4_Monthlyhistory_Ganges_2010-03_r4,0,1887,450399
JRC_GSW1_4_Monthlyhistory_Ganges_2011-03_r4,0,5118,446344
JRC_GSW1_4_Monthlyhistory_Ganges_2012-03_r4,0,4422,446737
JRC_GSW1_4_Monthlyhistory_Ganges_2013-03_r4,0,18902,426393
JRC_GSW1_4_Monthlyhistory_Ganges_2014-03_r4,0,239,439963
JRC_GSW1_4_Monthlyhistory_Ganges_2015-03_r4,0,232,440638
JRC_GSW1_4_Monthlyhistory_Ganges_2016-03_r4,0,213,446564
JRC_GSW1_4_Monthlyhistory_Ganges_2017-03_r4,0,8996,433844
JRC_GSW1_4_Monthlyhistory_Ganges_2018-03_r4,0,213,447343
JRC_GSW1_4_Monthlyhistory_Ganges_2019-03_r4,0,668,444000
JRC_GSW1_4_Monthlyhistory_Ganges_2020-03_r4,0,280,442525
JRC_GSW1_4_Monthlyhistory_Ganges_2021-03_r4,0,213,447110
