Date_Reach,no-data: -1,non-water: 0,water: 1
JRC_GSW1_4_Monthlyhistory_Ganges_1999-03_r2,0,500000,0
JRC_GSW1_4_Monthlyhistory_Ganges_2000-03_r2,0,2426,470264
JRC_GSW1_4_Monthlyhistory_Ganges_2001-03_r2,0,201122,282379
JRC_GSW1_4_Monthlyhistory_Ganges_2002-03_r2,0,38640,432793
JRC_GSW1_4_Monthlyhistory_Ganges_2003-03_r2,0,155211,327087
JRC_GSW1_4_Monthlyhistory_Ganges_2004-03_r2,0,4,473117
JRC_GSW1_4_Monthlyhistory_Ganges_2005-03_r2,0,263,474399
JRC_GSW1_4_Monthlyhistory_Ganges_2006-03_r2,0,16772,462007
JRC_GSW1_4_Monthlyhistory_Ganges_2007-03_r2,0,224,476978
JRC_GSW1_4_Monthlyhistory_Ganges_2008-03_r2,0,35,478366
JRC_GSW1_4_Monthlyhistory_Ganges_2009-03_r2,0,7160,471888
JRC_GSW1_4_Monthlyhistory_Ganges_2010-03_r2,0,19,479560
JRC_GSW1_4_Monthlyhistory_Ganges_2011-03_r2,0,14011,465386
JRC_GSW1_4_Monthlyhistory_Ganges_2012-03_r2,0,7975,471822
JRC_GSW1_4_Monthlyhistory_Ganges_2013-03_r2,0,36511,441386
JRC_GSW1_4_Monthlyhistory_Ganges_2014-03_r2,0,1,471020
JRC_GSW1_4_Monthlyhistory_Ganges_2015-03_r2,0,3,476146
JRC_GSW1_4_Monthlyhistory_Ganges_2016-03_r2,0,540,477830
JRC_GSW1_4_Monthlyhistory_Ganges_2017-03_r2,0,2707,474924
JRC_GSW1_4_Monthlyhistory_Ganges_2018-03_r2,0,246,478338
JRC_GSW1_4_Monthlyhistory_Ganges_2019-03_r2,0,18,476707
JRC_GSW1_4_Monthlyhistory_Ganges_2020-03_r2,0,1,472210
JRC_GSW1_4_Monthlyhistory_Ganges_2021-03_r2,0,1,477584
