X,Y,fid,id,vertex_index,vertex_part,vertex_part_ring,vertex_part_index,distance,angle
88.718533342717,24.4170492120627,"1","1","0","0","0","0",0,90
89.0994195570283,24.0361629977514,"2","1","1","0","0","1",0.53865445000001,180
88.9091627619029,23.845906202626,"3","1","2","0","0","2",0.80771819,270
88.5282765475916,24.2267924169373,"4","1","3","0","0","3",1.34637264000001,0
88.718533342717,24.4170492120627,"5","1","4","0","0","4",1.61543638,90
88.2980756289134,24.7018754052845,"6","2","0","0","0","0",0,90
88.6789618432247,24.3209891909732,"7","2","1","0","0","1",0.53865445000001,180
88.4887050480993,24.1307323958478,"8","2","2","0","0","2",0.80771819,270
88.107818833788,24.5116186101591,"9","2","3","0","0","3",1.34637264000001,0
88.2980756289134,24.7018754052845,"10","2","4","0","0","4",1.61543638,90
87.9861231315753,25.0273910546808,"11","3","0","0","0","0",0,90
88.3670093458866,24.6465048403695,"12","3","1","0","0","1",0.53865445000001,180
88.1767525507612,24.4562480452441,"13","3","2","0","0","2",0.80771819,270
87.7958663364498,24.8371342595554,"14","3","3","0","0","3",1.34637264000001,0
87.9861231315753,25.0273910546808,"15","3","4","0","0","4",1.61543638,90
87.7284232424698,25.4342856164262,"16","4","0","0","0","0",0,90
88.1093094567812,25.0533994021149,"17","4","1","0","0","1",0.53865445000001,180
87.9190526616558,24.8631426069895,"18","4","2","0","0","2",0.80771819,270
87.5381664473444,25.2440288213008,"19","4","3","0","0","3",1.34637264000001,0
87.7284232424698,25.4342856164262,"20","4","4","0","0","4",1.61543638,90
87.194987197521,25.5002564146387,"21","5","0","0","0","0",0,45
87.733641647521,25.5002564146387,"22","5","1","0","0","1",0.53865445,135
87.733641647521,25.2311926746387,"23","5","2","0","0","2",0.80771818999997,225
87.194987197521,25.2311926746387,"24","5","3","0","0","3",1.34637263999997,315
87.194987197521,25.5002564146387,"25","5","4","0","0","4",1.61543637999995,45
86.7745294837175,25.4527853824351,"26","6","0","0","0","0",0,45
87.3131839337175,25.4527853824351,"27","6","1","0","0","1",0.53865445,135
87.3131839337175,25.1837216424351,"28","6","2","0","0","2",0.80771818999997,225
86.7745294837175,25.1837216424351,"29","6","3","0","0","3",1.34637263999997,315
86.7745294837175,25.4527853824351,"30","6","4","0","0","4",1.61543637999995,45
86.4806611891236,25.4934748386096,"31","7","0","0","0","0",0,45
87.0193156391236,25.4934748386096,"32","7","1","0","0","1",0.53865445,135
87.0193156391236,25.2244110986097,"33","7","2","0","0","2",0.80771818999997,225
86.4806611891236,25.2244110986097,"34","7","3","0","0","3",1.34637263999997,315
86.4806611891236,25.4934748386096,"35","7","4","0","0","4",1.61543637999995,45
86.0941113554654,25.5002564146387,"36","8","0","0","0","0",0,45
86.6327658054654,25.5002564146387,"37","8","1","0","0","1",0.53865445,135
86.6327658054654,25.2311926746387,"38","8","2","0","0","2",0.80771818999997,225
86.0941113554654,25.2311926746387,"39","8","3","0","0","3",1.34637263999997,315
86.0941113554654,25.5002564146387,"40","8","4","0","0","4",1.61543637999995,45
85.6691325909758,25.5522484975284,"41","9","0","0","0","0",0,45
86.2077870409758,25.5522484975284,"42","9","1","0","0","1",0.53865445,135
86.2077870409758,25.2831847575284,"43","9","2","0","0","2",0.80771818999997,225
85.6691325909758,25.2831847575284,"44","9","3","0","0","3",1.34637263999997,315
85.6691325909758,25.5522484975284,"45","9","4","0","0","4",1.61543637999995,45
85.2260696237419,25.6946615941393,"46","10","0","0","0","0",0,45
85.7647240737419,25.6946615941393,"47","10","1","0","0","1",0.53865445,135
85.7647240737419,25.4255978541393,"48","10","2","0","0","2",0.80771818999997,225
85.2260696237419,25.4255978541393,"49","10","3","0","0","3",1.34637263999997,315
85.2260696237419,25.6946615941393,"50","10","4","0","0","4",1.61543637999995,45
84.859864518171,25.7805615571744,"51","11","0","0","0","0",0,45
85.398518968171,25.7805615571744,"52","11","1","0","0","1",0.53865445,135
85.398518968171,25.5114978171745,"53","11","2","0","0","2",0.80771818999997,225
84.859864518171,25.5114978171745,"54","11","3","0","0","3",1.34637263999997,315
84.859864518171,25.7805615571744,"55","11","4","0","0","4",1.61543637999995,45
84.480096260542,25.8800246722678,"56","12","0","0","0","0",0,45
85.018750710542,25.8800246722678,"57","12","1","0","0","1",0.53865445,135
85.018750710542,25.6109609322678,"58","12","2","0","0","2",0.80771818999997,225
84.480096260542,25.6109609322678,"59","12","3","0","0","3",1.34637263999997,315
84.480096260542,25.8800246722678,"60","12","4","0","0","4",1.61543637999995,45
