Date_Reach,no-data: -1,non-water: 0,water: 1
JRC_GSW1_4_Monthlyhistory_Indus_1999-03_r7,0,476102,22180
JRC_GSW1_4_Monthlyhistory_Indus_2000-03_r7,0,11765,462072
JRC_GSW1_4_Monthlyhistory_Indus_2001-03_r7,0,10324,469380
JRC_GSW1_4_Monthlyhistory_Indus_2002-03_r7,0,500000,0
JRC_GSW1_4_Monthlyhistory_Indus_2003-03_r7,0,50836,427692
JRC_GSW1_4_Monthlyhistory_Indus_2004-03_r7,0,31132,449425
JRC_GSW1_4_Monthlyhistory_Indus_2005-03_r7,0,25780,443606
JRC_GSW1_4_Monthlyhistory_Indus_2006-03_r7,0,74145,403610
JRC_GSW1_4_Monthlyhistory_Indus_2007-03_r7,0,73579,399483
JRC_GSW1_4_Monthlyhistory_Indus_2008-03_r7,0,4014,472194
JRC_GSW1_4_Monthlyhistory_Indus_2009-03_r7,0,46182,426158
JRC_GSW1_4_Monthlyhistory_Indus_2010-03_r7,0,53272,421288
JRC_GSW1_4_Monthlyhistory_Indus_2011-03_r7,0,5384,458890
JRC_GSW1_4_Monthlyhistory_Indus_2012-03_r7,0,33048,440819
JRC_GSW1_4_Monthlyhistory_Indus_2013-03_r7,0,23650,445651
JRC_GSW1_4_Monthlyhistory_Indus_2014-03_r7,0,420553,60707
JRC_GSW1_4_Monthlyhistory_Indus_2015-03_r7,0,377223,108666
JRC_GSW1_4_Monthlyhistory_Indus_2016-03_r7,0,2877,456920
JRC_GSW1_4_Monthlyhistory_Indus_2017-03_r7,0,14072,455206
JRC_GSW1_4_Monthlyhistory_Indus_2018-03_r7,0,540,472821
JRC_GSW1_4_Monthlyhistory_Indus_2019-03_r7,0,4609,463927
JRC_GSW1_4_Monthlyhistory_Indus_2020-03_r7,0,35110,429753
JRC_GSW1_4_Monthlyhistory_Indus_2021-03_r7,0,514,472670
