Date_Reach,no-data: -1,non-water: 0,water: 1
JRC_GSW1_4_Monthlyhistory_Indus_1999-03_r6,0,358273,129618
JRC_GSW1_4_Monthlyhistory_Indus_2000-03_r6,0,10489,462718
JRC_GSW1_4_Monthlyhistory_Indus_2001-03_r6,0,9648,471123
JRC_GSW1_4_Monthlyhistory_Indus_2002-03_r6,0,315568,176693
JRC_GSW1_4_Monthlyhistory_Indus_2003-03_r6,0,50642,423331
JRC_GSW1_4_Monthlyhistory_Indus_2004-03_r6,0,22942,456552
JRC_GSW1_4_Monthlyhistory_Indus_2005-03_r6,0,24430,440054
JRC_GSW1_4_Monthlyhistory_Indus_2006-03_r6,0,115538,359368
JRC_GSW1_4_Monthlyhistory_Indus_2007-03_r6,0,56326,411734
JRC_GSW1_4_Monthlyhistory_Indus_2008-03_r6,0,1992,471461
JRC_GSW1_4_Monthlyhistory_Indus_2009-03_r6,0,50614,420319
JRC_GSW1_4_Monthlyhistory_Indus_2010-03_r6,0,31623,437521
JRC_GSW1_4_Monthlyhistory_Indus_2011-03_r6,0,4827,459957
JRC_GSW1_4_Monthlyhistory_Indus_2012-03_r6,0,17879,456432
JRC_GSW1_4_Monthlyhistory_Indus_2013-03_r6,0,17650,447133
JRC_GSW1_4_Monthlyhistory_Indus_2014-03_r6,0,463996,17692
JRC_GSW1_4_Monthlyhistory_Indus_2015-03_r6,0,435931,55853
JRC_GSW1_4_Monthlyhistory_Indus_2016-03_r6,0,3948,451764
JRC_GSW1_4_Monthlyhistory_Indus_2017-03_r6,0,11961,455337
JRC_GSW1_4_Monthlyhistory_Indus_2018-03_r6,0,480,473706
JRC_GSW1_4_Monthlyhistory_Indus_2019-03_r6,0,6513,461446
JRC_GSW1_4_Monthlyhistory_Indus_2020-03_r6,0,54389,411539
JRC_GSW1_4_Monthlyhistory_Indus_2021-03_r6,0,478,475110
