Date_Reach,no-data: -1,non-water: 0,water: 1
JRC_GSW1_4_Monthlyhistory_Indus_1999-03_r11,0,49627,420401
JRC_GSW1_4_Monthlyhistory_Indus_2000-03_r11,0,5865,465148
JRC_GSW1_4_Monthlyhistory_Indus_2001-03_r11,0,9604,468000
JRC_GSW1_4_Monthlyhistory_Indus_2002-03_r11,0,484676,15324
JRC_GSW1_4_Monthlyhistory_Indus_2003-03_r11,0,20454,454053
JRC_GSW1_4_Monthlyhistory_Indus_2004-03_r11,0,3331,476360
JRC_GSW1_4_Monthlyhistory_Indus_2005-03_r11,0,4106,467944
JRC_GSW1_4_Monthlyhistory_Indus_2006-03_r11,0,100332,377959
JRC_GSW1_4_Monthlyhistory_Indus_2007-03_r11,0,86013,385653
JRC_GSW1_4_Monthlyhistory_Indus_2008-03_r11,0,17373,461094
JRC_GSW1_4_Monthlyhistory_Indus_2009-03_r11,0,3855,465617
JRC_GSW1_4_Monthlyhistory_Indus_2010-03_r11,0,2040,468140
JRC_GSW1_4_Monthlyhistory_Indus_2011-03_r11,0,173252,306530
JRC_GSW1_4_Monthlyhistory_Indus_2012-03_r11,0,34769,438021
JRC_GSW1_4_Monthlyhistory_Indus_2013-03_r11,0,82723,396978
JRC_GSW1_4_Monthlyhistory_Indus_2014-03_r11,0,76798,389620
JRC_GSW1_4_Monthlyhistory_Indus_2015-03_r11,0,11191,459454
JRC_GSW1_4_Monthlyhistory_Indus_2016-03_r11,0,303,462751
JRC_GSW1_4_Monthlyhistory_Indus_2017-03_r11,0,176,469251
JRC_GSW1_4_Monthlyhistory_Indus_2018-03_r11,0,1,474795
JRC_GSW1_4_Monthlyhistory_Indus_2019-03_r11,0,1,469239
JRC_GSW1_4_Monthlyhistory_Indus_2020-03_r11,0,12458,453506
JRC_GSW1_4_Monthlyhistory_Indus_2021-03_r11,0,1163,473965
