Date_Reach,no-data: -1,non-water: 0,water: 1
JRC_GSW1_4_Monthlyhistory_Ghangara_1999-04_r8,0,471955,27847
JRC_GSW1_4_Monthlyhistory_Ghangara_2000-04_r8,0,471896,27606
JRC_GSW1_4_Monthlyhistory_Ghangara_2001-04_r8,0,233,495495
JRC_GSW1_4_Monthlyhistory_Ghangara_2002-04_r8,0,483667,16333
JRC_GSW1_4_Monthlyhistory_Ghangara_2003-04_r8,0,482323,17677
JRC_GSW1_4_Monthlyhistory_Ghangara_2004-04_r8,0,356,494144
JRC_GSW1_4_Monthlyhistory_Ghangara_2005-04_r8,0,226,494008
JRC_GSW1_4_Monthlyhistory_Ghangara_2006-04_r8,0,2796,492049
JRC_GSW1_4_Monthlyhistory_Ghangara_2007-04_r8,0,226,490844
JRC_GSW1_4_Monthlyhistory_Ghangara_2008-04_r8,0,226,493644
JRC_GSW1_4_Monthlyhistory_Ghangara_2009-04_r8,0,226,491722
JRC_GSW1_4_Monthlyhistory_Ghangara_2010-04_r8,0,226,489981
JRC_GSW1_4_Monthlyhistory_Ghangara_2011-04_r8,0,459670,39408
JRC_GSW1_4_Monthlyhistory_Ghangara_2012-04_r8,0,81713,409349
JRC_GSW1_4_Monthlyhistory_Ghangara_2013-04_r8,0,32772,456669
JRC_GSW1_4_Monthlyhistory_Ghangara_2014-04_r8,0,226,491822
JRC_GSW1_4_Monthlyhistory_Ghangara_2015-04_r8,0,81220,406877
JRC_GSW1_4_Monthlyhistory_Ghangara_2016-04_r8,0,226,489098
JRC_GSW1_4_Monthlyhistory_Ghangara_2017-04_r8,0,226,487947
JRC_GSW1_4_Monthlyhistory_Ghangara_2018-04_r8,0,226,491056
JRC_GSW1_4_Monthlyhistory_Ghangara_2019-04_r8,0,226,485426
JRC_GSW1_4_Monthlyhistory_Ghangara_2020-04_r8,0,245,487831
JRC_GSW1_4_Monthlyhistory_Ghangara_2021-04_r8,0,226,492425
