Date_Reach,no-data: -1,non-water: 0,water: 1
JRC_GSW1_4_Monthlyhistory_Ghangara_1999-04_r4,0,500000,0
JRC_GSW1_4_Monthlyhistory_Ghangara_2000-04_r4,0,114,493968
JRC_GSW1_4_Monthlyhistory_Ghangara_2001-04_r4,0,5,494331
JRC_GSW1_4_Monthlyhistory_Ghangara_2002-04_r4,0,500000,0
JRC_GSW1_4_Monthlyhistory_Ghangara_2003-04_r4,0,500000,0
JRC_GSW1_4_Monthlyhistory_Ghangara_2004-04_r4,0,17040,477532
JRC_GSW1_4_Monthlyhistory_Ghangara_2005-04_r4,0,23200,471362
JRC_GSW1_4_Monthlyhistory_Ghangara_2006-04_r4,0,0,492056
JRC_GSW1_4_Monthlyhistory_Ghangara_2007-04_r4,0,22,488700
JRC_GSW1_4_Monthlyhistory_Ghangara_2008-04_r4,0,0,493088
JRC_GSW1_4_Monthlyhistory_Ghangara_2009-04_r4,0,0,491398
JRC_GSW1_4_Monthlyhistory_Ghangara_2010-04_r4,0,0,491828
JRC_GSW1_4_Monthlyhistory_Ghangara_2011-04_r4,0,98519,396839
JRC_GSW1_4_Monthlyhistory_Ghangara_2012-04_r4,0,159821,336799
JRC_GSW1_4_Monthlyhistory_Ghangara_2013-04_r4,0,0,488587
JRC_GSW1_4_Monthlyhistory_Ghangara_2014-04_r4,0,0,490441
JRC_GSW1_4_Monthlyhistory_Ghangara_2015-04_r4,0,0,486678
JRC_GSW1_4_Monthlyhistory_Ghangara_2016-04_r4,0,0,491805
JRC_GSW1_4_Monthlyhistory_Ghangara_2017-04_r4,0,0,489613
JRC_GSW1_4_Monthlyhistory_Ghangara_2018-04_r4,0,0,491237
JRC_GSW1_4_Monthlyhistory_Ghangara_2019-04_r4,0,99,486676
JRC_GSW1_4_Monthlyhistory_Ghangara_2020-04_r4,0,0,488176
JRC_GSW1_4_Monthlyhistory_Ghangara_2021-04_r4,0,0,493856
