Date_Reach,no-data: -1,non-water: 0,water: 1
JRC_GSW1_4_Monthlyhistory_Ghangara_1999-04_r1,0,500000,0
JRC_GSW1_4_Monthlyhistory_Ghangara_2000-04_r1,0,107928,383175
JRC_GSW1_4_Monthlyhistory_Ghangara_2001-04_r1,0,128331,365679
JRC_GSW1_4_Monthlyhistory_Ghangara_2002-04_r1,0,119410,373894
JRC_GSW1_4_Monthlyhistory_Ghangara_2003-04_r1,0,106026,387235
JRC_GSW1_4_Monthlyhistory_Ghangara_2004-04_r1,0,93,491904
JRC_GSW1_4_Monthlyhistory_Ghangara_2005-04_r1,0,10925,478684
JRC_GSW1_4_Monthlyhistory_Ghangara_2006-04_r1,0,93,489929
JRC_GSW1_4_Monthlyhistory_Ghangara_2007-04_r1,0,93,488268
JRC_GSW1_4_Monthlyhistory_Ghangara_2008-04_r1,0,93,489867
JRC_GSW1_4_Monthlyhistory_Ghangara_2009-04_r1,0,93,488258
JRC_GSW1_4_Monthlyhistory_Ghangara_2010-04_r1,0,93,490831
JRC_GSW1_4_Monthlyhistory_Ghangara_2011-04_r1,0,19024,472280
JRC_GSW1_4_Monthlyhistory_Ghangara_2012-04_r1,0,46155,444930
JRC_GSW1_4_Monthlyhistory_Ghangara_2013-04_r1,0,93,487687
JRC_GSW1_4_Monthlyhistory_Ghangara_2014-04_r1,0,93,487357
JRC_GSW1_4_Monthlyhistory_Ghangara_2015-04_r1,0,93,483841
JRC_GSW1_4_Monthlyhistory_Ghangara_2016-04_r1,0,101,491304
JRC_GSW1_4_Monthlyhistory_Ghangara_2017-04_r1,0,93,489111
JRC_GSW1_4_Monthlyhistory_Ghangara_2018-04_r1,0,93,489198
JRC_GSW1_4_Monthlyhistory_Ghangara_2019-04_r1,0,229,485917
JRC_GSW1_4_Monthlyhistory_Ghangara_2020-04_r1,0,93,479961
JRC_GSW1_4_Monthlyhistory_Ghangara_2021-04_r1,0,93,487612
