,Date image,no-data: 0,non-water: 1,water: 2
0,JRC_GSW1_4_Monthlyhistory_Ganges_1999-04_r6,0,500000,0
1,JRC_GSW1_4_Monthlyhistory_Ganges_2000-04_r6,0,117836,354642
2,JRC_GSW1_4_Monthlyhistory_Ganges_2001-04_r6,0,122681,352813
3,JRC_GSW1_4_Monthlyhistory_Ganges_2002-04_r6,0,23916,446062
4,JRC_GSW1_4_Monthlyhistory_Ganges_2003-04_r6,0,36921,438899
5,JRC_GSW1_4_Monthlyhistory_Ganges_2004-04_r6,0,24352,445888
6,JRC_GSW1_4_Monthlyhistory_Ganges_2005-04_r6,0,20711,451396
7,JRC_GSW1_4_Monthlyhistory_Ganges_2006-04_r6,0,57,473559
8,JRC_GSW1_4_Monthlyhistory_Ganges_2007-04_r6,0,106,471087
9,JRC_GSW1_4_Monthlyhistory_Ganges_2008-04_r6,0,6573,470108
10,JRC_GSW1_4_Monthlyhistory_Ganges_2009-04_r6,0,0,471297
11,JRC_GSW1_4_Monthlyhistory_Ganges_2010-04_r6,0,0,474717
12,JRC_GSW1_4_Monthlyhistory_Ganges_2011-04_r6,0,500000,0
13,JRC_GSW1_4_Monthlyhistory_Ganges_2012-04_r6,0,45494,427456
14,JRC_GSW1_4_Monthlyhistory_Ganges_2013-04_r6,0,0,469998
15,JRC_GSW1_4_Monthlyhistory_Ganges_2014-04_r6,0,0,463914
16,JRC_GSW1_4_Monthlyhistory_Ganges_2015-04_r6,0,4486,460847
17,JRC_GSW1_4_Monthlyhistory_Ganges_2016-04_r6,0,14733,458491
18,JRC_GSW1_4_Monthlyhistory_Ganges_2017-04_r6,0,4925,463323
19,JRC_GSW1_4_Monthlyhistory_Ganges_2018-04_r6,0,0,470552
20,JRC_GSW1_4_Monthlyhistory_Ganges_2019-04_r6,0,1,465805
21,JRC_GSW1_4_Monthlyhistory_Ganges_2020-04_r6,0,0,462735
22,JRC_GSW1_4_Monthlyhistory_Ganges_2021-04_r6,0,26848,448312
