Date_Reach,no-data: -1,non-water: 0,water: 1
JRC_GSW1_4_Monthlyhistory_Indus_1999-04_r11,0,1,462471
JRC_GSW1_4_Monthlyhistory_Indus_2000-04_r11,0,1,468284
JRC_GSW1_4_Monthlyhistory_Indus_2001-04_r11,0,25,482665
JRC_GSW1_4_Monthlyhistory_Indus_2002-04_r11,0,24433,448764
JRC_GSW1_4_Monthlyhistory_Indus_2003-04_r11,0,1,466327
JRC_GSW1_4_Monthlyhistory_Indus_2004-04_r11,0,100415,378024
JRC_GSW1_4_Monthlyhistory_Indus_2005-04_r11,0,95551,380598
JRC_GSW1_4_Monthlyhistory_Indus_2006-04_r11,0,338246,149001
JRC_GSW1_4_Monthlyhistory_Indus_2007-04_r11,0,82463,388609
JRC_GSW1_4_Monthlyhistory_Indus_2008-04_r11,0,8725,464200
JRC_GSW1_4_Monthlyhistory_Indus_2009-04_r11,0,1,467168
JRC_GSW1_4_Monthlyhistory_Indus_2010-04_r11,0,1,469542
JRC_GSW1_4_Monthlyhistory_Indus_2011-04_r11,0,1,466515
JRC_GSW1_4_Monthlyhistory_Indus_2012-04_r11,0,343759,147956
JRC_GSW1_4_Monthlyhistory_Indus_2013-04_r11,0,1,463837
JRC_GSW1_4_Monthlyhistory_Indus_2014-04_r11,0,3659,460222
JRC_GSW1_4_Monthlyhistory_Indus_2015-04_r11,0,1,464661
JRC_GSW1_4_Monthlyhistory_Indus_2016-04_r11,0,1,460054
JRC_GSW1_4_Monthlyhistory_Indus_2017-04_r11,0,1,470085
JRC_GSW1_4_Monthlyhistory_Indus_2018-04_r11,0,1,470021
JRC_GSW1_4_Monthlyhistory_Indus_2019-04_r11,0,75473,387388
JRC_GSW1_4_Monthlyhistory_Indus_2020-04_r11,0,411,459270
JRC_GSW1_4_Monthlyhistory_Indus_2021-04_r11,0,212,466314
