Date_Reach,no-data: -1,non-water: 0,water: 1
JRC_GSW1_4_Monthlyhistory_Indus_1999-04_r7,0,0,458967
JRC_GSW1_4_Monthlyhistory_Indus_2000-04_r7,0,0,470698
JRC_GSW1_4_Monthlyhistory_Indus_2001-04_r7,0,0,479227
JRC_GSW1_4_Monthlyhistory_Indus_2002-04_r7,0,165199,309096
JRC_GSW1_4_Monthlyhistory_Indus_2003-04_r7,0,0,463111
JRC_GSW1_4_Monthlyhistory_Indus_2004-04_r7,0,49860,424445
JRC_GSW1_4_Monthlyhistory_Indus_2005-04_r7,0,43133,426311
JRC_GSW1_4_Monthlyhistory_Indus_2006-04_r7,0,49619,426494
JRC_GSW1_4_Monthlyhistory_Indus_2007-04_r7,0,44574,426005
JRC_GSW1_4_Monthlyhistory_Indus_2008-04_r7,0,68278,406638
JRC_GSW1_4_Monthlyhistory_Indus_2009-04_r7,0,7,467466
JRC_GSW1_4_Monthlyhistory_Indus_2010-04_r7,0,0,467673
JRC_GSW1_4_Monthlyhistory_Indus_2011-04_r7,0,0,461181
JRC_GSW1_4_Monthlyhistory_Indus_2012-04_r7,0,169274,314927
JRC_GSW1_4_Monthlyhistory_Indus_2013-04_r7,0,0,461024
JRC_GSW1_4_Monthlyhistory_Indus_2014-04_r7,0,4,459842
JRC_GSW1_4_Monthlyhistory_Indus_2015-04_r7,0,0,461375
JRC_GSW1_4_Monthlyhistory_Indus_2016-04_r7,0,0,451455
JRC_GSW1_4_Monthlyhistory_Indus_2017-04_r7,0,0,466141
JRC_GSW1_4_Monthlyhistory_Indus_2018-04_r7,0,0,464067
JRC_GSW1_4_Monthlyhistory_Indus_2019-04_r7,0,30010,429840
JRC_GSW1_4_Monthlyhistory_Indus_2020-04_r7,0,26715,430850
JRC_GSW1_4_Monthlyhistory_Indus_2021-04_r7,0,2058,463962
