Date_Reach,no-data: -1,non-water: 0,water: 1
JRC_GSW1_4_Monthlyhistory_Indus_1999-04_r13,0,0,469929
JRC_GSW1_4_Monthlyhistory_Indus_2000-04_r13,0,0,476565
JRC_GSW1_4_Monthlyhistory_Indus_2001-04_r13,0,30,487233
JRC_GSW1_4_Monthlyhistory_Indus_2002-04_r13,0,286254,204958
JRC_GSW1_4_Monthlyhistory_Indus_2003-04_r13,0,0,476807
JRC_GSW1_4_Monthlyhistory_Indus_2004-04_r13,0,23889,459157
JRC_GSW1_4_Monthlyhistory_Indus_2005-04_r13,0,45718,429316
JRC_GSW1_4_Monthlyhistory_Indus_2006-04_r13,0,297406,194807
JRC_GSW1_4_Monthlyhistory_Indus_2007-04_r13,0,36320,436274
JRC_GSW1_4_Monthlyhistory_Indus_2008-04_r13,0,1225,479540
JRC_GSW1_4_Monthlyhistory_Indus_2009-04_r13,0,0,475201
JRC_GSW1_4_Monthlyhistory_Indus_2010-04_r13,0,0,477262
JRC_GSW1_4_Monthlyhistory_Indus_2011-04_r13,0,0,469912
JRC_GSW1_4_Monthlyhistory_Indus_2012-04_r13,0,356334,135098
JRC_GSW1_4_Monthlyhistory_Indus_2013-04_r13,0,0,469551
JRC_GSW1_4_Monthlyhistory_Indus_2014-04_r13,0,10,468978
JRC_GSW1_4_Monthlyhistory_Indus_2015-04_r13,0,0,465776
JRC_GSW1_4_Monthlyhistory_Indus_2016-04_r13,0,0,458932
JRC_GSW1_4_Monthlyhistory_Indus_2017-04_r13,0,0,465136
JRC_GSW1_4_Monthlyhistory_Indus_2018-04_r13,0,0,474488
JRC_GSW1_4_Monthlyhistory_Indus_2019-04_r13,0,117,465433
JRC_GSW1_4_Monthlyhistory_Indus_2020-04_r13,0,0,462876
JRC_GSW1_4_Monthlyhistory_Indus_2021-04_r13,0,1,471050
