Date_Reach,no-data: -1,non-water: 0,water: 1
JRC_GSW1_4_Monthlyhistory_Ganges_1999-04_r5,0,500000,0
JRC_GSW1_4_Monthlyhistory_Ganges_2000-04_r5,0,185456,284983
JRC_GSW1_4_Monthlyhistory_Ganges_2001-04_r5,0,70765,393813
JRC_GSW1_4_Monthlyhistory_Ganges_2002-04_r5,0,222637,257705
JRC_GSW1_4_Monthlyhistory_Ganges_2003-04_r5,0,278834,212127
JRC_GSW1_4_Monthlyhistory_Ganges_2004-04_r5,0,22,457793
JRC_GSW1_4_Monthlyhistory_Ganges_2005-04_r5,0,0,463048
JRC_GSW1_4_Monthlyhistory_Ganges_2006-04_r5,0,42225,426320
JRC_GSW1_4_Monthlyhistory_Ganges_2007-04_r5,0,57,462718
JRC_GSW1_4_Monthlyhistory_Ganges_2008-04_r5,0,40473,431258
JRC_GSW1_4_Monthlyhistory_Ganges_2009-04_r5,0,0,465246
JRC_GSW1_4_Monthlyhistory_Ganges_2010-04_r5,0,0,469912
JRC_GSW1_4_Monthlyhistory_Ganges_2011-04_r5,0,435433,58795
JRC_GSW1_4_Monthlyhistory_Ganges_2012-04_r5,0,80967,388053
JRC_GSW1_4_Monthlyhistory_Ganges_2013-04_r5,0,0,465119
JRC_GSW1_4_Monthlyhistory_Ganges_2014-04_r5,0,0,462669
JRC_GSW1_4_Monthlyhistory_Ganges_2015-04_r5,0,732,461388
JRC_GSW1_4_Monthlyhistory_Ganges_2016-04_r5,0,70936,402825
JRC_GSW1_4_Monthlyhistory_Ganges_2017-04_r5,0,44816,424339
JRC_GSW1_4_Monthlyhistory_Ganges_2018-04_r5,0,0,468647
JRC_GSW1_4_Monthlyhistory_Ganges_2019-04_r5,0,0,464539
JRC_GSW1_4_Monthlyhistory_Ganges_2020-04_r5,0,226,462303
JRC_GSW1_4_Monthlyhistory_Ganges_2021-04_r5,0,260499,225692
