Date_Reach,no-data: -1,non-water: 0,water: 1
JRC_GSW1_4_Monthlyhistory_Ganges_1999-04_r4,0,500000,0
JRC_GSW1_4_Monthlyhistory_Ganges_2000-04_r4,0,286756,178481
JRC_GSW1_4_Monthlyhistory_Ganges_2001-04_r4,0,3896,440588
JRC_GSW1_4_Monthlyhistory_Ganges_2002-04_r4,0,71405,385437
JRC_GSW1_4_Monthlyhistory_Ganges_2003-04_r4,0,470615,25717
JRC_GSW1_4_Monthlyhistory_Ganges_2004-04_r4,0,331,446182
JRC_GSW1_4_Monthlyhistory_Ganges_2005-04_r4,0,213,445767
JRC_GSW1_4_Monthlyhistory_Ganges_2006-04_r4,0,9625,441717
JRC_GSW1_4_Monthlyhistory_Ganges_2007-04_r4,0,1083,445608
JRC_GSW1_4_Monthlyhistory_Ganges_2008-04_r4,0,662,449230
JRC_GSW1_4_Monthlyhistory_Ganges_2009-04_r4,0,213,445806
JRC_GSW1_4_Monthlyhistory_Ganges_2010-04_r4,0,213,453616
JRC_GSW1_4_Monthlyhistory_Ganges_2011-04_r4,0,182422,295028
JRC_GSW1_4_Monthlyhistory_Ganges_2012-04_r4,0,26179,423133
JRC_GSW1_4_Monthlyhistory_Ganges_2013-04_r4,0,213,448036
JRC_GSW1_4_Monthlyhistory_Ganges_2014-04_r4,0,213,445809
JRC_GSW1_4_Monthlyhistory_Ganges_2015-04_r4,0,3576,440640
JRC_GSW1_4_Monthlyhistory_Ganges_2016-04_r4,0,19377,431672
JRC_GSW1_4_Monthlyhistory_Ganges_2017-04_r4,0,3914,445844
JRC_GSW1_4_Monthlyhistory_Ganges_2018-04_r4,0,213,450387
JRC_GSW1_4_Monthlyhistory_Ganges_2019-04_r4,0,3930,445713
JRC_GSW1_4_Monthlyhistory_Ganges_2020-04_r4,0,3381,445447
JRC_GSW1_4_Monthlyhistory_Ganges_2021-04_r4,0,110761,347778
