Date_Reach,no-data: -1,non-water: 0,water: 1
JRC_GSW1_4_Monthlyhistory_Ganges_1999-04_r2,0,500000,0
JRC_GSW1_4_Monthlyhistory_Ganges_2000-04_r2,0,36768,440877
JRC_GSW1_4_Monthlyhistory_Ganges_2001-04_r2,0,65,475465
JRC_GSW1_4_Monthlyhistory_Ganges_2002-04_r2,0,3527,473114
JRC_GSW1_4_Monthlyhistory_Ganges_2003-04_r2,0,179248,309642
JRC_GSW1_4_Monthlyhistory_Ganges_2004-04_r2,0,15357,461146
JRC_GSW1_4_Monthlyhistory_Ganges_2005-04_r2,0,1,476865
JRC_GSW1_4_Monthlyhistory_Ganges_2006-04_r2,0,49845,434027
JRC_GSW1_4_Monthlyhistory_Ganges_2007-04_r2,0,1,477853
JRC_GSW1_4_Monthlyhistory_Ganges_2008-04_r2,0,6542,472619
JRC_GSW1_4_Monthlyhistory_Ganges_2009-04_r2,0,1,480868
JRC_GSW1_4_Monthlyhistory_Ganges_2010-04_r2,0,1,482366
JRC_GSW1_4_Monthlyhistory_Ganges_2011-04_r2,0,82696,402027
JRC_GSW1_4_Monthlyhistory_Ganges_2012-04_r2,0,107277,376072
JRC_GSW1_4_Monthlyhistory_Ganges_2013-04_r2,0,8655,473065
JRC_GSW1_4_Monthlyhistory_Ganges_2014-04_r2,0,1,476274
JRC_GSW1_4_Monthlyhistory_Ganges_2015-04_r2,0,10422,467922
JRC_GSW1_4_Monthlyhistory_Ganges_2016-04_r2,0,7405,473994
JRC_GSW1_4_Monthlyhistory_Ganges_2017-04_r2,0,6236,475502
JRC_GSW1_4_Monthlyhistory_Ganges_2018-04_r2,0,1,481019
JRC_GSW1_4_Monthlyhistory_Ganges_2019-04_r2,0,5894,473187
JRC_GSW1_4_Monthlyhistory_Ganges_2020-04_r2,0,425,474025
JRC_GSW1_4_Monthlyhistory_Ganges_2021-04_r2,0,107,479379
