Date_Reach,no-data: -1,non-water: 0,water: 1
JRC_GSW1_4_Monthlyhistory_Ganges_1999-04_r9,0,500000,0
JRC_GSW1_4_Monthlyhistory_Ganges_2000-04_r9,0,500000,0
JRC_GSW1_4_Monthlyhistory_Ganges_2001-04_r9,0,500000,0
JRC_GSW1_4_Monthlyhistory_Ganges_2002-04_r9,0,0,480609
JRC_GSW1_4_Monthlyhistory_Ganges_2003-04_r9,0,0,482802
JRC_GSW1_4_Monthlyhistory_Ganges_2004-04_r9,0,47799,433409
JRC_GSW1_4_Monthlyhistory_Ganges_2005-04_r9,0,64823,419794
JRC_GSW1_4_Monthlyhistory_Ganges_2006-04_r9,0,0,482700
JRC_GSW1_4_Monthlyhistory_Ganges_2007-04_r9,0,0,480416
JRC_GSW1_4_Monthlyhistory_Ganges_2008-04_r9,0,4774,477783
JRC_GSW1_4_Monthlyhistory_Ganges_2009-04_r9,0,0,479307
JRC_GSW1_4_Monthlyhistory_Ganges_2010-04_r9,0,0,481403
JRC_GSW1_4_Monthlyhistory_Ganges_2011-04_r9,0,484813,14317
JRC_GSW1_4_Monthlyhistory_Ganges_2012-04_r9,0,25402,452715
JRC_GSW1_4_Monthlyhistory_Ganges_2013-04_r9,0,0,474531
JRC_GSW1_4_Monthlyhistory_Ganges_2014-04_r9,0,0,471756
JRC_GSW1_4_Monthlyhistory_Ganges_2015-04_r9,0,0,473689
JRC_GSW1_4_Monthlyhistory_Ganges_2016-04_r9,0,0,478615
JRC_GSW1_4_Monthlyhistory_Ganges_2017-04_r9,0,0,475329
JRC_GSW1_4_Monthlyhistory_Ganges_2018-04_r9,0,0,470601
JRC_GSW1_4_Monthlyhistory_Ganges_2019-04_r9,0,0,475331
JRC_GSW1_4_Monthlyhistory_Ganges_2020-04_r9,0,0,465203
JRC_GSW1_4_Monthlyhistory_Ganges_2021-04_r9,0,0,480195
