Date_Reach,no-data: -1,non-water: 0,water: 1
JRC_GSW1_4_Monthlyhistory_Indus_1999-02_r10,0,8356,460436
JRC_GSW1_4_Monthlyhistory_Indus_2000-02_r10,0,10161,459242
JRC_GSW1_4_Monthlyhistory_Indus_2001-02_r10,0,498508,948
JRC_GSW1_4_Monthlyhistory_Indus_2002-02_r10,0,26174,452238
JRC_GSW1_4_Monthlyhistory_Indus_2003-02_r10,0,500000,0
JRC_GSW1_4_Monthlyhistory_Indus_2004-02_r10,0,500000,0
JRC_GSW1_4_Monthlyhistory_Indus_2005-02_r10,0,500000,0
JRC_GSW1_4_Monthlyhistory_Indus_2006-02_r10,0,500000,0
JRC_GSW1_4_Monthlyhistory_Indus_2007-02_r10,0,102089,377341
JRC_GSW1_4_Monthlyhistory_Indus_2008-02_r10,0,110728,365921
JRC_GSW1_4_Monthlyhistory_Indus_2009-02_r10,0,81623,394857
JRC_GSW1_4_Monthlyhistory_Indus_2010-02_r10,0,6185,465580
JRC_GSW1_4_Monthlyhistory_Indus_2011-02_r10,0,16972,447954
JRC_GSW1_4_Monthlyhistory_Indus_2012-02_r10,0,92694,379241
JRC_GSW1_4_Monthlyhistory_Indus_2013-02_r10,0,128690,344741
JRC_GSW1_4_Monthlyhistory_Indus_2014-02_r10,0,7819,458811
JRC_GSW1_4_Monthlyhistory_Indus_2015-02_r10,0,500000,0
JRC_GSW1_4_Monthlyhistory_Indus_2016-02_r10,0,3013,457730
JRC_GSW1_4_Monthlyhistory_Indus_2017-02_r10,0,2197,459535
JRC_GSW1_4_Monthlyhistory_Indus_2018-02_r10,0,5874,464662
JRC_GSW1_4_Monthlyhistory_Indus_2019-02_r10,0,98435,376428
JRC_GSW1_4_Monthlyhistory_Indus_2020-02_r10,0,9715,458598
JRC_GSW1_4_Monthlyhistory_Indus_2021-02_r10,0,83102,382549
