Date_Reach,no-data: -1,non-water: 0,water: 1
JRC_GSW1_4_Monthlyhistory_Indus_1999-02_r14,0,16286,452953
JRC_GSW1_4_Monthlyhistory_Indus_2000-02_r14,0,14140,463088
JRC_GSW1_4_Monthlyhistory_Indus_2001-02_r14,0,315225,173329
JRC_GSW1_4_Monthlyhistory_Indus_2002-02_r14,0,60817,423741
JRC_GSW1_4_Monthlyhistory_Indus_2003-02_r14,0,500000,0
JRC_GSW1_4_Monthlyhistory_Indus_2004-02_r14,0,500000,0
JRC_GSW1_4_Monthlyhistory_Indus_2005-02_r14,0,500000,0
JRC_GSW1_4_Monthlyhistory_Indus_2006-02_r14,0,464166,28520
JRC_GSW1_4_Monthlyhistory_Indus_2007-02_r14,0,31392,447233
JRC_GSW1_4_Monthlyhistory_Indus_2008-02_r14,0,37387,444506
JRC_GSW1_4_Monthlyhistory_Indus_2009-02_r14,0,23406,456635
JRC_GSW1_4_Monthlyhistory_Indus_2010-02_r14,0,5459,476180
JRC_GSW1_4_Monthlyhistory_Indus_2011-02_r14,0,30832,443096
JRC_GSW1_4_Monthlyhistory_Indus_2012-02_r14,0,40121,435981
JRC_GSW1_4_Monthlyhistory_Indus_2013-02_r14,0,55230,418918
JRC_GSW1_4_Monthlyhistory_Indus_2014-02_r14,0,8416,463799
JRC_GSW1_4_Monthlyhistory_Indus_2015-02_r14,0,290670,209322
JRC_GSW1_4_Monthlyhistory_Indus_2016-02_r14,0,2879,463309
JRC_GSW1_4_Monthlyhistory_Indus_2017-02_r14,0,3356,471371
JRC_GSW1_4_Monthlyhistory_Indus_2018-02_r14,0,7149,468603
JRC_GSW1_4_Monthlyhistory_Indus_2019-02_r14,0,33004,446487
JRC_GSW1_4_Monthlyhistory_Indus_2020-02_r14,0,24293,454150
JRC_GSW1_4_Monthlyhistory_Indus_2021-02_r14,0,25975,448295
