Date_Reach,no-data: -1,non-water: 0,water: 1
JRC_GSW1_4_Monthlyhistory_Indus_1999-02_r13,0,16980,452810
JRC_GSW1_4_Monthlyhistory_Indus_2000-02_r13,0,16829,460990
JRC_GSW1_4_Monthlyhistory_Indus_2001-02_r13,0,361267,127899
JRC_GSW1_4_Monthlyhistory_Indus_2002-02_r13,0,58444,424449
JRC_GSW1_4_Monthlyhistory_Indus_2003-02_r13,0,500000,0
JRC_GSW1_4_Monthlyhistory_Indus_2004-02_r13,0,500000,0
JRC_GSW1_4_Monthlyhistory_Indus_2005-02_r13,0,500000,0
JRC_GSW1_4_Monthlyhistory_Indus_2006-02_r13,0,483629,11617
JRC_GSW1_4_Monthlyhistory_Indus_2007-02_r13,0,50220,429877
JRC_GSW1_4_Monthlyhistory_Indus_2008-02_r13,0,65744,416968
JRC_GSW1_4_Monthlyhistory_Indus_2009-02_r13,0,28257,450277
JRC_GSW1_4_Monthlyhistory_Indus_2010-02_r13,0,6501,473648
JRC_GSW1_4_Monthlyhistory_Indus_2011-02_r13,0,25137,448865
JRC_GSW1_4_Monthlyhistory_Indus_2012-02_r13,0,65930,410850
JRC_GSW1_4_Monthlyhistory_Indus_2013-02_r13,0,80858,395026
JRC_GSW1_4_Monthlyhistory_Indus_2014-02_r13,0,8907,462376
JRC_GSW1_4_Monthlyhistory_Indus_2015-02_r13,0,376777,123223
JRC_GSW1_4_Monthlyhistory_Indus_2016-02_r13,0,3019,461298
JRC_GSW1_4_Monthlyhistory_Indus_2017-02_r13,0,4192,469614
JRC_GSW1_4_Monthlyhistory_Indus_2018-02_r13,0,6669,467603
JRC_GSW1_4_Monthlyhistory_Indus_2019-02_r13,0,43301,434892
JRC_GSW1_4_Monthlyhistory_Indus_2020-02_r13,0,21077,454765
JRC_GSW1_4_Monthlyhistory_Indus_2021-02_r13,0,31630,442995
