Date_Reach,no-data: -1,non-water: 0,water: 1
JRC_GSW1_4_Monthlyhistory_Indus_1999-02_r4,0,5198,455484
JRC_GSW1_4_Monthlyhistory_Indus_2000-02_r4,0,7625,458347
JRC_GSW1_4_Monthlyhistory_Indus_2001-02_r4,0,500000,0
JRC_GSW1_4_Monthlyhistory_Indus_2002-02_r4,0,33407,444371
JRC_GSW1_4_Monthlyhistory_Indus_2003-02_r4,0,73686,400317
JRC_GSW1_4_Monthlyhistory_Indus_2004-02_r4,0,39323,432548
JRC_GSW1_4_Monthlyhistory_Indus_2005-02_r4,0,500000,0
JRC_GSW1_4_Monthlyhistory_Indus_2006-02_r4,0,500000,0
JRC_GSW1_4_Monthlyhistory_Indus_2007-02_r4,0,24773,444644
JRC_GSW1_4_Monthlyhistory_Indus_2008-02_r4,0,85673,383473
JRC_GSW1_4_Monthlyhistory_Indus_2009-02_r4,0,24849,447100
JRC_GSW1_4_Monthlyhistory_Indus_2010-02_r4,0,6541,463728
JRC_GSW1_4_Monthlyhistory_Indus_2011-02_r4,0,492258,958
JRC_GSW1_4_Monthlyhistory_Indus_2012-02_r4,0,23909,440284
JRC_GSW1_4_Monthlyhistory_Indus_2013-02_r4,0,135019,324882
JRC_GSW1_4_Monthlyhistory_Indus_2014-02_r4,0,7058,457456
JRC_GSW1_4_Monthlyhistory_Indus_2015-02_r4,0,499953,47
JRC_GSW1_4_Monthlyhistory_Indus_2016-02_r4,0,1963,455089
JRC_GSW1_4_Monthlyhistory_Indus_2017-02_r4,0,3483,462903
JRC_GSW1_4_Monthlyhistory_Indus_2018-02_r4,0,5526,467687
JRC_GSW1_4_Monthlyhistory_Indus_2019-02_r4,0,6280,460443
JRC_GSW1_4_Monthlyhistory_Indus_2020-02_r4,0,8398,457545
JRC_GSW1_4_Monthlyhistory_Indus_2021-02_r4,0,260537,208245
