Date_Reach,no-data: -1,non-water: 0,water: 1
JRC_GSW1_4_Monthlyhistory_Indus_1999-02_r15,0,14681,455785
JRC_GSW1_4_Monthlyhistory_Indus_2000-02_r15,0,11862,464437
JRC_GSW1_4_Monthlyhistory_Indus_2001-02_r15,0,230962,254212
JRC_GSW1_4_Monthlyhistory_Indus_2002-02_r15,0,71005,414621
JRC_GSW1_4_Monthlyhistory_Indus_2003-02_r15,0,500000,0
JRC_GSW1_4_Monthlyhistory_Indus_2004-02_r15,0,500000,0
JRC_GSW1_4_Monthlyhistory_Indus_2005-02_r15,0,500000,0
JRC_GSW1_4_Monthlyhistory_Indus_2006-02_r15,0,450823,39777
JRC_GSW1_4_Monthlyhistory_Indus_2007-02_r15,0,24345,453589
JRC_GSW1_4_Monthlyhistory_Indus_2008-02_r15,0,26163,456835
JRC_GSW1_4_Monthlyhistory_Indus_2009-02_r15,0,16895,466037
JRC_GSW1_4_Monthlyhistory_Indus_2010-02_r15,0,3936,478871
JRC_GSW1_4_Monthlyhistory_Indus_2011-02_r15,0,34002,439521
JRC_GSW1_4_Monthlyhistory_Indus_2012-02_r15,0,38038,437338
JRC_GSW1_4_Monthlyhistory_Indus_2013-02_r15,0,41651,433401
JRC_GSW1_4_Monthlyhistory_Indus_2014-02_r15,0,5977,467369
JRC_GSW1_4_Monthlyhistory_Indus_2015-02_r15,0,292194,207798
JRC_GSW1_4_Monthlyhistory_Indus_2016-02_r15,0,2873,459850
JRC_GSW1_4_Monthlyhistory_Indus_2017-02_r15,0,2659,473060
JRC_GSW1_4_Monthlyhistory_Indus_2018-02_r15,0,9351,468562
JRC_GSW1_4_Monthlyhistory_Indus_2019-02_r15,0,27476,453077
JRC_GSW1_4_Monthlyhistory_Indus_2020-02_r15,0,20103,459380
JRC_GSW1_4_Monthlyhistory_Indus_2021-02_r15,0,21657,452834
