Date_Reach,no-data: -1,non-water: 0,water: 1
JRC_GSW1_4_Monthlyhistory_Indus_1999-02_r11,0,21137,448608
JRC_GSW1_4_Monthlyhistory_Indus_2000-02_r11,0,9054,461347
JRC_GSW1_4_Monthlyhistory_Indus_2001-02_r11,0,478142,20778
JRC_GSW1_4_Monthlyhistory_Indus_2002-02_r11,0,29554,449966
JRC_GSW1_4_Monthlyhistory_Indus_2003-02_r11,0,498824,1176
JRC_GSW1_4_Monthlyhistory_Indus_2004-02_r11,0,499989,11
JRC_GSW1_4_Monthlyhistory_Indus_2005-02_r11,0,488748,11252
JRC_GSW1_4_Monthlyhistory_Indus_2006-02_r11,0,486641,12266
JRC_GSW1_4_Monthlyhistory_Indus_2007-02_r11,0,112522,366512
JRC_GSW1_4_Monthlyhistory_Indus_2008-02_r11,0,122346,353522
JRC_GSW1_4_Monthlyhistory_Indus_2009-02_r11,0,71673,401890
JRC_GSW1_4_Monthlyhistory_Indus_2010-02_r11,0,5735,466920
JRC_GSW1_4_Monthlyhistory_Indus_2011-02_r11,0,27676,438189
JRC_GSW1_4_Monthlyhistory_Indus_2012-02_r11,0,105586,367968
JRC_GSW1_4_Monthlyhistory_Indus_2013-02_r11,0,142157,333757
JRC_GSW1_4_Monthlyhistory_Indus_2014-02_r11,0,7224,461175
JRC_GSW1_4_Monthlyhistory_Indus_2015-02_r11,0,495151,4849
JRC_GSW1_4_Monthlyhistory_Indus_2016-02_r11,0,2351,461813
JRC_GSW1_4_Monthlyhistory_Indus_2017-02_r11,0,1377,468890
JRC_GSW1_4_Monthlyhistory_Indus_2018-02_r11,0,4012,468306
JRC_GSW1_4_Monthlyhistory_Indus_2019-02_r11,0,92727,383818
JRC_GSW1_4_Monthlyhistory_Indus_2020-02_r11,0,10232,459742
JRC_GSW1_4_Monthlyhistory_Indus_2021-02_r11,0,59564,407299
