Date_Reach,no-data: -1,non-water: 0,water: 1
JRC_GSW1_4_Monthlyhistory_Indus_1999-02_r12,0,16838,447199
JRC_GSW1_4_Monthlyhistory_Indus_2000-02_r12,0,17759,453875
JRC_GSW1_4_Monthlyhistory_Indus_2001-02_r12,0,362078,127160
JRC_GSW1_4_Monthlyhistory_Indus_2002-02_r12,0,47256,432021
JRC_GSW1_4_Monthlyhistory_Indus_2003-02_r12,0,498141,1848
JRC_GSW1_4_Monthlyhistory_Indus_2004-02_r12,0,500000,0
JRC_GSW1_4_Monthlyhistory_Indus_2005-02_r12,0,497514,2482
JRC_GSW1_4_Monthlyhistory_Indus_2006-02_r12,0,480016,12274
JRC_GSW1_4_Monthlyhistory_Indus_2007-02_r12,0,84890,393282
JRC_GSW1_4_Monthlyhistory_Indus_2008-02_r12,0,97814,379832
JRC_GSW1_4_Monthlyhistory_Indus_2009-02_r12,0,21220,452064
JRC_GSW1_4_Monthlyhistory_Indus_2010-02_r12,0,7689,466598
JRC_GSW1_4_Monthlyhistory_Indus_2011-02_r12,0,19179,449641
JRC_GSW1_4_Monthlyhistory_Indus_2012-02_r12,0,96504,377862
JRC_GSW1_4_Monthlyhistory_Indus_2013-02_r12,0,101199,373252
JRC_GSW1_4_Monthlyhistory_Indus_2014-02_r12,0,8474,458225
JRC_GSW1_4_Monthlyhistory_Indus_2015-02_r12,0,480510,19480
JRC_GSW1_4_Monthlyhistory_Indus_2016-02_r12,0,3445,450729
JRC_GSW1_4_Monthlyhistory_Indus_2017-02_r12,0,4782,464844
JRC_GSW1_4_Monthlyhistory_Indus_2018-02_r12,0,7442,465031
JRC_GSW1_4_Monthlyhistory_Indus_2019-02_r12,0,61337,414669
JRC_GSW1_4_Monthlyhistory_Indus_2020-02_r12,0,16540,453624
JRC_GSW1_4_Monthlyhistory_Indus_2021-02_r12,0,33792,435835
