Date_Reach,no-data: -1,non-water: 0,water: 1
JRC_GSW1_4_Monthlyhistory_Ghangara_1999-03_r8,0,500000,0
JRC_GSW1_4_Monthlyhistory_Ghangara_2000-03_r8,0,622,493370
JRC_GSW1_4_Monthlyhistory_Ghangara_2001-03_r8,0,483112,16888
JRC_GSW1_4_Monthlyhistory_Ghangara_2002-03_r8,0,1099,492923
JRC_GSW1_4_Monthlyhistory_Ghangara_2003-03_r8,0,844,494247
JRC_GSW1_4_Monthlyhistory_Ghangara_2004-03_r8,0,226,493175
JRC_GSW1_4_Monthlyhistory_Ghangara_2005-03_r8,0,281,492431
JRC_GSW1_4_Monthlyhistory_Ghangara_2006-03_r8,0,450,493433
JRC_GSW1_4_Monthlyhistory_Ghangara_2007-03_r8,0,966,489943
JRC_GSW1_4_Monthlyhistory_Ghangara_2008-03_r8,0,89205,406435
JRC_GSW1_4_Monthlyhistory_Ghangara_2009-03_r8,0,279,491700
JRC_GSW1_4_Monthlyhistory_Ghangara_2010-03_r8,0,226,491864
JRC_GSW1_4_Monthlyhistory_Ghangara_2011-03_r8,0,30769,462860
JRC_GSW1_4_Monthlyhistory_Ghangara_2012-03_r8,0,4406,490467
JRC_GSW1_4_Monthlyhistory_Ghangara_2013-03_r8,0,91294,401943
JRC_GSW1_4_Monthlyhistory_Ghangara_2014-03_r8,0,649,487786
JRC_GSW1_4_Monthlyhistory_Ghangara_2015-03_r8,0,1740,485383
JRC_GSW1_4_Monthlyhistory_Ghangara_2016-03_r8,0,272,492835
JRC_GSW1_4_Monthlyhistory_Ghangara_2017-03_r8,0,321,492591
JRC_GSW1_4_Monthlyhistory_Ghangara_2018-03_r8,0,226,491932
JRC_GSW1_4_Monthlyhistory_Ghangara_2019-03_r8,0,226,490528
JRC_GSW1_4_Monthlyhistory_Ghangara_2020-03_r8,0,704,487447
JRC_GSW1_4_Monthlyhistory_Ghangara_2021-03_r8,0,226,492434
