Date_Reach,no-data: -1,non-water: 0,water: 1
JRC_GSW1_4_Monthlyhistory_Ghangara_1999-03_r2,0,500000,0
JRC_GSW1_4_Monthlyhistory_Ghangara_2000-03_r2,0,500000,0
JRC_GSW1_4_Monthlyhistory_Ghangara_2001-03_r2,0,500000,0
JRC_GSW1_4_Monthlyhistory_Ghangara_2002-03_r2,0,498761,1168
JRC_GSW1_4_Monthlyhistory_Ghangara_2003-03_r2,0,5771,484660
JRC_GSW1_4_Monthlyhistory_Ghangara_2004-03_r2,0,181,491858
JRC_GSW1_4_Monthlyhistory_Ghangara_2005-03_r2,0,34189,456227
JRC_GSW1_4_Monthlyhistory_Ghangara_2006-03_r2,0,777,489416
JRC_GSW1_4_Monthlyhistory_Ghangara_2007-03_r2,0,0,487784
JRC_GSW1_4_Monthlyhistory_Ghangara_2008-03_r2,0,1743,490714
JRC_GSW1_4_Monthlyhistory_Ghangara_2009-03_r2,0,6,488754
JRC_GSW1_4_Monthlyhistory_Ghangara_2010-03_r2,0,76505,416892
JRC_GSW1_4_Monthlyhistory_Ghangara_2011-03_r2,0,25,489537
JRC_GSW1_4_Monthlyhistory_Ghangara_2012-03_r2,0,12465,480379
JRC_GSW1_4_Monthlyhistory_Ghangara_2013-03_r2,0,63072,425597
JRC_GSW1_4_Monthlyhistory_Ghangara_2014-03_r2,0,4,485737
JRC_GSW1_4_Monthlyhistory_Ghangara_2015-03_r2,0,29,483007
JRC_GSW1_4_Monthlyhistory_Ghangara_2016-03_r2,0,2,490967
JRC_GSW1_4_Monthlyhistory_Ghangara_2017-03_r2,0,0,491995
JRC_GSW1_4_Monthlyhistory_Ghangara_2018-03_r2,0,0,491009
JRC_GSW1_4_Monthlyhistory_Ghangara_2019-03_r2,0,0,490250
JRC_GSW1_4_Monthlyhistory_Ghangara_2020-03_r2,0,197,482493
JRC_GSW1_4_Monthlyhistory_Ghangara_2021-03_r2,0,76,487477
