Date_Reach,no-data: -1,non-water: 0,water: 1
JRC_GSW1_4_Monthlyhistory_Indus_1999-01_r6,0,488072,6283
JRC_GSW1_4_Monthlyhistory_Indus_2000-01_r6,0,69765,407631
JRC_GSW1_4_Monthlyhistory_Indus_2001-01_r6,0,12180,465962
JRC_GSW1_4_Monthlyhistory_Indus_2002-01_r6,0,26560,455606
JRC_GSW1_4_Monthlyhistory_Indus_2003-01_r6,0,500000,0
JRC_GSW1_4_Monthlyhistory_Indus_2004-01_r6,0,343978,138561
JRC_GSW1_4_Monthlyhistory_Indus_2005-01_r6,0,72435,409323
JRC_GSW1_4_Monthlyhistory_Indus_2006-01_r6,0,269482,208345
JRC_GSW1_4_Monthlyhistory_Indus_2007-01_r6,0,413600,67787
JRC_GSW1_4_Monthlyhistory_Indus_2008-01_r6,0,72490,404242
JRC_GSW1_4_Monthlyhistory_Indus_2009-01_r6,0,96945,384183
JRC_GSW1_4_Monthlyhistory_Indus_2010-01_r6,0,334451,147064
JRC_GSW1_4_Monthlyhistory_Indus_2011-01_r6,0,30788,444765
JRC_GSW1_4_Monthlyhistory_Indus_2012-01_r6,0,95750,378573
JRC_GSW1_4_Monthlyhistory_Indus_2013-01_r6,0,404946,69920
JRC_GSW1_4_Monthlyhistory_Indus_2014-01_r6,0,10340,463448
JRC_GSW1_4_Monthlyhistory_Indus_2015-01_r6,0,122940,357823
JRC_GSW1_4_Monthlyhistory_Indus_2016-01_r6,0,499877,80
JRC_GSW1_4_Monthlyhistory_Indus_2017-01_r6,0,159491,325136
JRC_GSW1_4_Monthlyhistory_Indus_2018-01_r6,0,214927,265385
JRC_GSW1_4_Monthlyhistory_Indus_2019-01_r6,0,31621,444729
JRC_GSW1_4_Monthlyhistory_Indus_2020-01_r6,0,488919,10794
JRC_GSW1_4_Monthlyhistory_Indus_2021-01_r6,0,303554,179252
