Date_Reach,no-data: -1,non-water: 0,water: 1
JRC_GSW1_4_Monthlyhistory_Indus_1999-01_r14,0,487838,8733
JRC_GSW1_4_Monthlyhistory_Indus_2000-01_r14,0,95424,381561
JRC_GSW1_4_Monthlyhistory_Indus_2001-01_r14,0,13997,469019
JRC_GSW1_4_Monthlyhistory_Indus_2002-01_r14,0,42774,444351
JRC_GSW1_4_Monthlyhistory_Indus_2003-01_r14,0,243475,240428
JRC_GSW1_4_Monthlyhistory_Indus_2004-01_r14,0,78035,403311
JRC_GSW1_4_Monthlyhistory_Indus_2005-01_r14,0,93947,401281
JRC_GSW1_4_Monthlyhistory_Indus_2006-01_r14,0,161249,321573
JRC_GSW1_4_Monthlyhistory_Indus_2007-01_r14,0,346200,134310
JRC_GSW1_4_Monthlyhistory_Indus_2008-01_r14,0,272468,212199
JRC_GSW1_4_Monthlyhistory_Indus_2009-01_r14,0,297368,187498
JRC_GSW1_4_Monthlyhistory_Indus_2010-01_r14,0,359622,128131
JRC_GSW1_4_Monthlyhistory_Indus_2011-01_r14,0,29274,446402
JRC_GSW1_4_Monthlyhistory_Indus_2012-01_r14,0,162705,315333
JRC_GSW1_4_Monthlyhistory_Indus_2013-01_r14,0,439053,45632
JRC_GSW1_4_Monthlyhistory_Indus_2014-01_r14,0,15261,462249
JRC_GSW1_4_Monthlyhistory_Indus_2015-01_r14,0,35182,446512
JRC_GSW1_4_Monthlyhistory_Indus_2016-01_r14,0,499993,2
JRC_GSW1_4_Monthlyhistory_Indus_2017-01_r14,0,321673,159316
JRC_GSW1_4_Monthlyhistory_Indus_2018-01_r14,0,62782,417673
JRC_GSW1_4_Monthlyhistory_Indus_2019-01_r14,0,248911,237182
JRC_GSW1_4_Monthlyhistory_Indus_2020-01_r14,0,23910,453947
JRC_GSW1_4_Monthlyhistory_Indus_2021-01_r14,0,45997,433423
