Date_Reach,no-data: -1,non-water: 0,water: 1
JRC_GSW1_4_Monthlyhistory_Indus_1999-01_r8,0,498074,1218
JRC_GSW1_4_Monthlyhistory_Indus_2000-01_r8,0,71923,404994
JRC_GSW1_4_Monthlyhistory_Indus_2001-01_r8,0,14010,464863
JRC_GSW1_4_Monthlyhistory_Indus_2002-01_r8,0,29283,456689
JRC_GSW1_4_Monthlyhistory_Indus_2003-01_r8,0,500000,0
JRC_GSW1_4_Monthlyhistory_Indus_2004-01_r8,0,450336,44698
JRC_GSW1_4_Monthlyhistory_Indus_2005-01_r8,0,97953,387388
JRC_GSW1_4_Monthlyhistory_Indus_2006-01_r8,0,352305,129269
JRC_GSW1_4_Monthlyhistory_Indus_2007-01_r8,0,418349,65474
JRC_GSW1_4_Monthlyhistory_Indus_2008-01_r8,0,93773,387885
JRC_GSW1_4_Monthlyhistory_Indus_2009-01_r8,0,180349,302985
JRC_GSW1_4_Monthlyhistory_Indus_2010-01_r8,0,368000,116898
JRC_GSW1_4_Monthlyhistory_Indus_2011-01_r8,0,47801,427854
JRC_GSW1_4_Monthlyhistory_Indus_2012-01_r8,0,222182,255465
JRC_GSW1_4_Monthlyhistory_Indus_2013-01_r8,0,432265,49989
JRC_GSW1_4_Monthlyhistory_Indus_2014-01_r8,0,8978,468211
JRC_GSW1_4_Monthlyhistory_Indus_2015-01_r8,0,148864,338237
JRC_GSW1_4_Monthlyhistory_Indus_2016-01_r8,0,499185,5
JRC_GSW1_4_Monthlyhistory_Indus_2017-01_r8,0,77627,405982
JRC_GSW1_4_Monthlyhistory_Indus_2018-01_r8,0,380503,104426
JRC_GSW1_4_Monthlyhistory_Indus_2019-01_r8,0,13994,465405
JRC_GSW1_4_Monthlyhistory_Indus_2020-01_r8,0,74578,406590
JRC_GSW1_4_Monthlyhistory_Indus_2021-01_r8,0,244086,235413
