Date_Reach,no-data: -1,non-water: 0,water: 1
JRC_GSW1_4_Monthlyhistory_Indus_1999-01_r3,0,494555,4323
JRC_GSW1_4_Monthlyhistory_Indus_2000-01_r3,0,27374,447179
JRC_GSW1_4_Monthlyhistory_Indus_2001-01_r3,0,8616,467386
JRC_GSW1_4_Monthlyhistory_Indus_2002-01_r3,0,12500,467214
JRC_GSW1_4_Monthlyhistory_Indus_2003-01_r3,0,500000,0
JRC_GSW1_4_Monthlyhistory_Indus_2004-01_r3,0,91076,381892
JRC_GSW1_4_Monthlyhistory_Indus_2005-01_r3,0,30766,448564
JRC_GSW1_4_Monthlyhistory_Indus_2006-01_r3,0,364665,115081
JRC_GSW1_4_Monthlyhistory_Indus_2007-01_r3,0,404832,72827
JRC_GSW1_4_Monthlyhistory_Indus_2008-01_r3,0,25902,451604
JRC_GSW1_4_Monthlyhistory_Indus_2009-01_r3,0,48357,435561
JRC_GSW1_4_Monthlyhistory_Indus_2010-01_r3,0,246864,233635
JRC_GSW1_4_Monthlyhistory_Indus_2011-01_r3,0,14332,463156
JRC_GSW1_4_Monthlyhistory_Indus_2012-01_r3,0,57795,414685
JRC_GSW1_4_Monthlyhistory_Indus_2013-01_r3,0,377303,97231
JRC_GSW1_4_Monthlyhistory_Indus_2014-01_r3,0,2491,469950
JRC_GSW1_4_Monthlyhistory_Indus_2015-01_r3,0,83325,399738
JRC_GSW1_4_Monthlyhistory_Indus_2016-01_r3,0,500000,0
JRC_GSW1_4_Monthlyhistory_Indus_2017-01_r3,0,500000,0
JRC_GSW1_4_Monthlyhistory_Indus_2018-01_r3,0,55226,421726
JRC_GSW1_4_Monthlyhistory_Indus_2019-01_r3,0,500000,0
JRC_GSW1_4_Monthlyhistory_Indus_2020-01_r3,0,500000,0
JRC_GSW1_4_Monthlyhistory_Indus_2021-01_r3,0,279545,200920
