Training loss,Validation loss,Accuracy,Precision,Recall,F1-score,CSI-score
0.21697201993730333,0.7420681715011597,0.7696904285714286,0.29426033756169306,0.977670266420973,0.45236679064133367,0.29229586694433424
0.16825711451194905,0.22559542953968048,0.899086,0.4894252050215353,0.8607607203424049,0.6240296008336943,0.45351964054734833
0.162719268489767,0.1525920331478119,0.9294387142857143,0.67716850017988,0.5251084698229979,0.5915224591567118,0.4199729438373248
0.16376492160337944,0.15115438401699066,0.9305097142857143,0.6676070358907588,0.5691497874652199,0.6144593592076647,0.4434798526416951
0.1645300802257326,0.15804199874401093,0.9292937142857143,0.6452356985119118,0.6070463171650283,0.6255586993690518,0.45513671561083335
0.15917735132906172,0.16035354137420654,0.9255088571428571,0.7212732983828711,0.3819958447431596,0.4994672508029635,0.3328599466224498
0.1657208193231512,0.1607978194952011,0.9288654285714286,0.7012955606218163,0.46837232863236256,0.5616422196516323,0.39047462830534657
0.1613191189589324,0.1528446525335312,0.9295682857142857,0.691749518186546,0.49802735421729205,0.5791172955437938,0.4075757229837145
0.16087409191661411,0.15217402577400208,0.9307544285714285,0.6586711274890096,0.5983760727683848,0.6270775551341183,0.4567465245244617
0.1596447549484394,0.15014594793319702,0.9300784285714285,0.6399741694937046,0.6431662176150588,0.641566223150476,0.4722837683250152
0.15964566060790308,0.14765681326389313,0.9316398571428571,0.6877284692099507,0.5447380206000896,0.6079383871694558,0.4367180170519221
0.16036074415401178,0.17004278302192688,0.9258174285714286,0.5983327073084455,0.7227195642119327,0.6546701637809267,0.4866242806454196
0.15811715633780868,0.15297751128673553,0.9283625714285715,0.7493828017606465,0.39621622018456387,0.518362211379615,0.34985758014601115
0.1580733397492656,0.16517414152622223,0.9186882857142857,0.5578128439456776,0.7925190693986623,0.65476837452144,0.4867328139780457
0.15928962605970878,0.14812004566192627,0.9331551428571428,0.6822105545705869,0.5858868096290368,0.6303903416200093,0.4602700760490045
0.15813186488769673,0.1463903933763504,0.9329578571428572,0.6812584094247183,0.5843318919633221,0.6290835428471165,0.4588781027208586
0.1566245644180863,0.1426401287317276,0.9343677142857143,0.6813938680673658,0.6112280032008692,0.6444065702888085,0.47536861433896077
0.15222694145308602,0.14545708894729614,0.934822,0.6987308114568177,0.5803087811001887,0.6340376449223631,0.46416919365711695
0.15513888663715786,0.14899057149887085,0.9305335714285714,0.6209622334546268,0.734151659533231,0.6728297253200115,0.5069656382126598
0.1550605175671754,0.14269857108592987,0.9348361428571429,0.7074299922162338,0.5631415503659709,0.6270929408388849,0.4567628497897421
0.15482885638872781,0.142216295003891,0.9359568571428571,0.7215005814362904,0.5566179439554227,0.6284239876401589,0.4581765662108183
0.15319235788451302,0.1852865368127823,0.9176867142857142,0.5520737748223359,0.8162422088934242,0.6586576825762239,0.49104369109986956
0.15005347077493314,0.14301757514476776,0.9355921428571429,0.7141456499252105,0.5636158075954572,0.6300139589503461,0.4598688892243331
0.15296636632195226,0.14436256885528564,0.9319714285714286,0.7818966395041954,0.41716576244558157,0.5440592703799377,0.3736822930435595
0.15425639351209006,0.14104683697223663,0.9360662857142857,0.691984669440987,0.6179483602886655,0.6528742800144578,0.4846424281925705
0.15097877824748004,0.14471673965454102,0.9341452857142857,0.6523307612869645,0.691904590604421,0.6715351559410508,0.5054971224449295
0.1527991118254485,0.13870885968208313,0.9372354285714286,0.7042436799402427,0.6118652404689714,0.6548124123973125,0.4867814856694297
0.15306204557418823,0.138783261179924,0.9371564285714286,0.6993400518436227,0.6211272051859955,0.6579173085342401,0.49022114115464355
0.1539300591857345,0.1388198286294937,0.9367261428571428,0.6748337175327059,0.6748386717860997,0.67483619465031,0.5092473790228758
0.15147515800264147,0.13898684084415436,0.9363561428571429,0.6623986895480981,0.7053687973981926,0.6832087639220628,0.5188436444618207
0.14946365190876854,0.13707570731639862,0.9377788571428571,0.6966171380613211,0.638610117976992,0.6663536124061413,0.4996478966275045
0.15044212175740135,0.1391119360923767,0.9362517142857143,0.7613550614469926,0.5022105085417692,0.6052088180806395,0.433906398266597
0.1552793714735243,0.14781127870082855,0.9304901428571428,0.6123877543944805,0.7780358702913819,0.6853445683559078,0.5213111754300702
0.1506842098854206,0.13881967961788177,0.9376278571428571,0.7281704548848601,0.5727470946238612,0.6411743966152762,0.4718592253620795
0.14983229559880715,0.1344781070947647,0.9394464285714286,0.7423504002894749,0.57836329865725,0.6501760776970176,0.4816747332405616
0.15193176655857651,0.1484643965959549,0.9308818571428571,0.6126639081132088,0.7874255761197536,0.6891377104772991,0.525713277424604
0.14675060659646988,0.14156465232372284,0.9343947142857143,0.6377666485319581,0.7539030782671258,0.6909890044820479,0.5278710468040309
0.14407311959399116,0.1419605165719986,0.9354467142857142,0.6458777283015217,0.7449758833591508,0.6918964399264435,0.5289309356267917
0.14698066727982628,0.1336095929145813,0.9402508571428572,0.7290375093028161,0.6141645804732294,0.6666889806951776,0.5000251037021983
0.14383092633000127,0.1408599615097046,0.935567,0.6482827527524947,0.7383245358372549,0.6903801335186807,0.5271607060861032
0.14552752176920572,0.1361771523952484,0.938806,0.7429692773042021,0.5673070852268138,0.6433631059425329,0.474233826870464
0.13993476386423465,0.13391603529453278,0.9386132857142857,0.6698236349681645,0.727840954974929,0.6976281400387441,0.5356597155435298
