Training loss,Validation loss,Accuracy,Precision,Recall,F1-score,CSI-score
0.25217606735472775,1.6412938833236694,0.902705,0.0,0.0,0.0,0.0
0.204668007943095,0.21485550701618195,0.902705,0.0,0.0,0.0,0.0
0.1970781504499669,0.16523826122283936,0.9234051428571428,0.6096898878581929,0.5912827703669987,0.6003452676271348,0.42892382938566315
0.2115975283846563,0.19486971199512482,0.9259288571428571,0.6846416475286389,0.44253485350150135,0.5375871319411248,0.36760284573718766
0.19882010987826756,0.1614166498184204,0.9250627142857143,0.6053442143609101,0.6602350730106524,0.6315992771898331,0.4615601750726732
0.1775683407880822,0.1627587080001831,0.9255588571428571,0.6084526597093322,0.6589092083721818,0.6326765392553827,0.4627116826554264
0.19395898829917518,0.18265144526958466,0.9280271428571428,0.6806376200734963,0.4903291168977998,0.5700186566208815,0.3986196458157268
0.18791782217366354,0.15714100003242493,0.9280551428571429,0.6540017669531167,0.5532394118035724,0.5994155256371709,0.4279752750435594
0.18270065681058534,0.15842151641845703,0.928679,0.6536336074466899,0.5678929323926497,0.6077541403105459,0.4365278848421986
0.18647420011004623,0.16142235696315765,0.9283642857142858,0.6566962875852118,0.5526241988650129,0.6001821086975242,0.4287572779478323
0.18260249100169357,0.159400075674057,0.9286917142857143,0.6452024374551997,0.5934073840235513,0.6182219516373781,0.4474104595669025
0.17864233741954882,0.2319810390472412,0.9233945714285714,0.5851243536045911,0.7308450735245534,0.6499166962625609,0.4813900701263357
0.18421743232376722,0.1913553774356842,0.926171,0.6794710987964023,0.45655700997702126,0.5461436928127247,0.37565176841260867
0.19499555017266954,0.16819269955158234,0.9280431428571428,0.6353341177152816,0.6112926079008612,0.6230815395275816,0.45251883638324053
0.16927431949547359,0.15995728969573975,0.9285505714285714,0.6912709672917648,0.480026135537724,0.5665994225323309,0.39528337817005715
0.16878005725388623,0.16388589143753052,0.9240817142857143,0.7502031561945083,0.32938706290882663,0.45777964607548655,0.29683154220508573
0.19096046594940885,0.15949168801307678,0.929518,0.6508961749161067,0.5943720496575217,0.62135126547791,0.45069585161103565
0.18139542760897656,0.16862007975578308,0.9300741428571428,0.656961958943974,0.5886897726355047,0.620954920924023,0.45027891426152017
0.1744552788381674,0.16310317814350128,0.9291235714285714,0.6922293322023891,0.48889900376616036,0.5730625886880324,0.40160317064021894
0.16907205980043022,0.1551961451768875,0.9300938571428572,0.6802888051336448,0.531102024035885,0.5965089922021681,0.4250180363735492
0.18047840543547455,0.15265318751335144,0.9300988571428571,0.6689057421451787,0.5575106634462202,0.6081492099847041,0.4369356358794903
0.17281157204083034,0.15253207087516785,0.9301421428571428,0.6780628365448801,0.5369267250556115,0.5992974256147117,0.4278548755275323
0.15904649103782614,0.16703364253044128,0.9291531428571429,0.6337944501214822,0.6438504401195186,0.6387828711607824,0.4692733125577891
0.1754102411927009,0.1544359028339386,0.9297245714285715,0.6744017925476491,0.5369399396533371,0.5978713490448047,0.4264026333371812
0.17006379943721148,0.1528693586587906,0.930128,0.6450818594203709,0.6266083266648558,0.6357109127932872,0.46596496208502347
0.15728332862562064,0.15119804441928864,0.930617,0.6664429072818346,0.5743387195054804,0.6169723305507471,0.4461026660416973
0.1585014669262633,0.14998292922973633,0.9310215714285714,0.6566597959003022,0.609962338396482,0.6324502529883221,0.4624696500952383
0.16641393607976485,0.15799975395202637,0.9295118571428571,0.7117770273930552,0.4630101385330328,0.5610547844180706,0.3899069807123771
0.17553867886261065,0.16155768930912018,0.9210624285714286,0.5696459116047252,0.7716150440853663,0.6554240669292836,0.4874578302412709
0.17884504126042736,0.15546877682209015,0.9297775714285714,0.6755835241970751,0.535308670978541,0.5973210826096467,0.4258430601644363
0.1716323459939081,0.1523904800415039,0.930372,0.6524470207068314,0.6085102009352998,0.6297131430880992,0.45954840762848026
0.18087356704838423,0.1542913019657135,0.9300414285714286,0.6512087693263227,0.6050127374039188,0.6272613516656823,0.45694156890446824
0.1769679173523066,0.15403851866722107,0.9294018571428572,0.6990901924019347,0.4817513746852356,0.5704197253986674,0.39901202858841944
0.18119236614022935,0.17259007692337036,0.924681,0.7585568202445863,0.3313296087744929,0.46120830169629046,0.29972107479180227
0.16374275650905104,0.1542884260416031,0.9278718571428571,0.6172346236364508,0.680930601337611,0.6475199540914527,0.4787648853306905
0.17909019577259921,0.1572042852640152,0.9258894285714285,0.732715973259839,0.3751330636576538,0.4962156010076193,0.3299778886787969
0.15897466455187118,0.1500948667526245,0.9313761428571429,0.671783415502602,0.5761990412075205,0.6203307712067023,0.44962282136948384
0.17370752625319422,0.16313880681991577,0.93086,0.6726075266462896,0.5638154948499776,0.6134252418188934,0.4424032950257784
0.1631118848311658,0.1525880992412567,0.9300784285714285,0.6972205868427661,0.4973093610742,0.5805368466068076,0.40898338588011124
0.17237806852374757,0.15170033276081085,0.9304977142857143,0.6870537559971925,0.5246077833980604,0.5949413038048457,0.4234280784254238
0.15977172477512944,0.1498624086380005,0.9305375714285714,0.6463485720295059,0.6317003516551284,0.6389405173406006,0.469443492720952
0.17109924372361632,0.1796409636735916,0.9172405714285714,0.5516502348776271,0.7978166547980002,0.6522809094106645,0.48398877330247864
0.17059362360409328,0.16301916539669037,0.9296142857142857,0.6337058010990899,0.6554190862839817,0.6443795805887694,0.4753392405144167
0.17077793545868933,0.15129485726356506,0.9302884285714286,0.7064610225746571,0.48504034123027906,0.5751770092167544,0.40368313322946264
0.16642319456655152,0.15633484721183777,0.9290724285714286,0.7099976789802076,0.45813101539500634,0.5569111676916307,0.3859160678284746
