,Date image,no-data: 0,non-water: 1,water: 2
0,JRC_GSW1_4_Monthlyhistory_Ganges_1999-04_r3,0,500000,0
1,JRC_GSW1_4_Monthlyhistory_Ganges_2000-04_r3,0,361288,131021
2,JRC_GSW1_4_Monthlyhistory_Ganges_2001-04_r3,0,263921,226809
3,JRC_GSW1_4_Monthlyhistory_Ganges_2002-04_r3,0,250286,238611
4,JRC_GSW1_4_Monthlyhistory_Ganges_2003-04_r3,0,492178,7110
5,JRC_GSW1_4_Monthlyhistory_Ganges_2004-04_r3,0,249673,237230
6,JRC_GSW1_4_Monthlyhistory_Ganges_2005-04_r3,0,249673,238324
7,JRC_GSW1_4_Monthlyhistory_Ganges_2006-04_r3,0,251340,237277
8,JRC_GSW1_4_Monthlyhistory_Ganges_2007-04_r3,0,250049,237946
9,JRC_GSW1_4_Monthlyhistory_Ganges_2008-04_r3,0,249673,239286
10,JRC_GSW1_4_Monthlyhistory_Ganges_2009-04_r3,0,249673,238300
11,JRC_GSW1_4_Monthlyhistory_Ganges_2010-04_r3,0,249673,240151
12,JRC_GSW1_4_Monthlyhistory_Ganges_2011-04_r3,0,299121,192169
13,JRC_GSW1_4_Monthlyhistory_Ganges_2012-04_r3,0,346758,149488
14,JRC_GSW1_4_Monthlyhistory_Ganges_2013-04_r3,0,249673,239241
15,JRC_GSW1_4_Monthlyhistory_Ganges_2014-04_r3,0,249673,237761
16,JRC_GSW1_4_Monthlyhistory_Ganges_2015-04_r3,0,252002,236705
17,JRC_GSW1_4_Monthlyhistory_Ganges_2016-04_r3,0,280814,210112
18,JRC_GSW1_4_Monthlyhistory_Ganges_2017-04_r3,0,258751,231902
19,JRC_GSW1_4_Monthlyhistory_Ganges_2018-04_r3,0,249673,241998
20,JRC_GSW1_4_Monthlyhistory_Ganges_2019-04_r3,0,306884,185551
21,JRC_GSW1_4_Monthlyhistory_Ganges_2020-04_r3,0,270800,220077
22,JRC_GSW1_4_Monthlyhistory_Ganges_2021-04_r3,0,272193,219818
