Date_Reach,no-data: -1,non-water: 0,water: 1
JRC_GSW1_4_Monthlyhistory_Ghangara_1999-01_r9,0,500000,0
JRC_GSW1_4_Monthlyhistory_Ghangara_2000-01_r9,0,500000,0
JRC_GSW1_4_Monthlyhistory_Ghangara_2001-01_r9,0,500000,0
JRC_GSW1_4_Monthlyhistory_Ghangara_2002-01_r9,0,500000,0
JRC_GSW1_4_Monthlyhistory_Ghangara_2003-01_r9,0,500000,0
JRC_GSW1_4_Monthlyhistory_Ghangara_2004-01_r9,0,498232,1609
JRC_GSW1_4_Monthlyhistory_Ghangara_2005-01_r9,0,420471,71530
JRC_GSW1_4_Monthlyhistory_Ghangara_2006-01_r9,0,185794,309206
JRC_GSW1_4_Monthlyhistory_Ghangara_2007-01_r9,0,107043,385006
JRC_GSW1_4_Monthlyhistory_Ghangara_2008-01_r9,0,378886,115061
JRC_GSW1_4_Monthlyhistory_Ghangara_2009-01_r9,0,160219,328525
JRC_GSW1_4_Monthlyhistory_Ghangara_2010-01_r9,0,37002,452582
JRC_GSW1_4_Monthlyhistory_Ghangara_2011-01_r9,0,22694,465329
JRC_GSW1_4_Monthlyhistory_Ghangara_2012-01_r9,0,203210,285558
JRC_GSW1_4_Monthlyhistory_Ghangara_2013-01_r9,0,452181,38398
JRC_GSW1_4_Monthlyhistory_Ghangara_2014-01_r9,0,23051,463587
JRC_GSW1_4_Monthlyhistory_Ghangara_2015-01_r9,0,474206,23546
JRC_GSW1_4_Monthlyhistory_Ghangara_2016-01_r9,0,223400,266950
JRC_GSW1_4_Monthlyhistory_Ghangara_2017-01_r9,0,6220,483204
JRC_GSW1_4_Monthlyhistory_Ghangara_2018-01_r9,0,417298,71701
JRC_GSW1_4_Monthlyhistory_Ghangara_2019-01_r9,0,22712,467139
JRC_GSW1_4_Monthlyhistory_Ghangara_2020-01_r9,0,470903,18074
JRC_GSW1_4_Monthlyhistory_Ghangara_2021-01_r9,0,499946,54
