Date_Reach,no-data: -1,non-water: 0,water: 1
JRC_GSW1_4_Monthlyhistory_Ghangara_1999-01_r2,0,500000,0
JRC_GSW1_4_Monthlyhistory_Ghangara_2000-01_r2,0,500000,0
JRC_GSW1_4_Monthlyhistory_Ghangara_2001-01_r2,0,499281,709
JRC_GSW1_4_Monthlyhistory_Ghangara_2002-01_r2,0,499986,3
JRC_GSW1_4_Monthlyhistory_Ghangara_2003-01_r2,0,500000,0
JRC_GSW1_4_Monthlyhistory_Ghangara_2004-01_r2,0,499621,209
JRC_GSW1_4_Monthlyhistory_Ghangara_2005-01_r2,0,50680,436264
JRC_GSW1_4_Monthlyhistory_Ghangara_2006-01_r2,0,423730,67249
JRC_GSW1_4_Monthlyhistory_Ghangara_2007-01_r2,0,449137,41902
JRC_GSW1_4_Monthlyhistory_Ghangara_2008-01_r2,0,161929,327982
JRC_GSW1_4_Monthlyhistory_Ghangara_2009-01_r2,0,461686,33675
JRC_GSW1_4_Monthlyhistory_Ghangara_2010-01_r2,0,500000,0
JRC_GSW1_4_Monthlyhistory_Ghangara_2011-01_r2,0,135723,351136
JRC_GSW1_4_Monthlyhistory_Ghangara_2012-01_r2,0,175553,314563
JRC_GSW1_4_Monthlyhistory_Ghangara_2013-01_r2,0,472789,17075
JRC_GSW1_4_Monthlyhistory_Ghangara_2014-01_r2,0,472718,17208
JRC_GSW1_4_Monthlyhistory_Ghangara_2015-01_r2,0,64197,428446
JRC_GSW1_4_Monthlyhistory_Ghangara_2016-01_r2,0,167990,321380
JRC_GSW1_4_Monthlyhistory_Ghangara_2017-01_r2,0,6602,482757
JRC_GSW1_4_Monthlyhistory_Ghangara_2018-01_r2,0,446063,44944
JRC_GSW1_4_Monthlyhistory_Ghangara_2019-01_r2,0,412747,76694
JRC_GSW1_4_Monthlyhistory_Ghangara_2020-01_r2,0,461959,21088
JRC_GSW1_4_Monthlyhistory_Ghangara_2021-01_r2,0,500000,0
