Date_Reach,no-data: -1,non-water: 0,water: 1
JRC_GSW1_4_Monthlyhistory_Ghangara_1999-02_r1,0,500000,0
JRC_GSW1_4_Monthlyhistory_Ghangara_2000-02_r1,0,101392,387338
JRC_GSW1_4_Monthlyhistory_Ghangara_2001-02_r1,0,257550,233794
JRC_GSW1_4_Monthlyhistory_Ghangara_2002-02_r1,0,11608,472170
JRC_GSW1_4_Monthlyhistory_Ghangara_2003-02_r1,0,9227,477788
JRC_GSW1_4_Monthlyhistory_Ghangara_2004-02_r1,0,16290,468574
JRC_GSW1_4_Monthlyhistory_Ghangara_2005-02_r1,0,2495,483136
JRC_GSW1_4_Monthlyhistory_Ghangara_2006-02_r1,0,568,488451
JRC_GSW1_4_Monthlyhistory_Ghangara_2007-02_r1,0,4376,483912
JRC_GSW1_4_Monthlyhistory_Ghangara_2008-02_r1,0,4588,482594
JRC_GSW1_4_Monthlyhistory_Ghangara_2009-02_r1,0,2597,482927
JRC_GSW1_4_Monthlyhistory_Ghangara_2010-02_r1,0,1907,485133
JRC_GSW1_4_Monthlyhistory_Ghangara_2011-02_r1,0,104735,384729
JRC_GSW1_4_Monthlyhistory_Ghangara_2012-02_r1,0,66660,424624
JRC_GSW1_4_Monthlyhistory_Ghangara_2013-02_r1,0,23667,462308
JRC_GSW1_4_Monthlyhistory_Ghangara_2014-02_r1,0,3832,480184
JRC_GSW1_4_Monthlyhistory_Ghangara_2015-02_r1,0,57853,433577
JRC_GSW1_4_Monthlyhistory_Ghangara_2016-02_r1,0,445,488956
JRC_GSW1_4_Monthlyhistory_Ghangara_2017-02_r1,0,521,489063
JRC_GSW1_4_Monthlyhistory_Ghangara_2018-02_r1,0,6142,482083
JRC_GSW1_4_Monthlyhistory_Ghangara_2019-02_r1,0,1694,484014
JRC_GSW1_4_Monthlyhistory_Ghangara_2020-02_r1,0,20163,460793
JRC_GSW1_4_Monthlyhistory_Ghangara_2021-02_r1,0,17672,467457
