Date_Reach,no-data: -1,non-water: 0,water: 1
JRC_GSW1_4_Monthlyhistory_Ghangara_1999-02_r4,0,500000,0
JRC_GSW1_4_Monthlyhistory_Ghangara_2000-02_r4,0,10059,482585
JRC_GSW1_4_Monthlyhistory_Ghangara_2001-02_r4,0,13310,479928
JRC_GSW1_4_Monthlyhistory_Ghangara_2002-02_r4,0,2202,486819
JRC_GSW1_4_Monthlyhistory_Ghangara_2003-02_r4,0,6655,486262
JRC_GSW1_4_Monthlyhistory_Ghangara_2004-02_r4,0,27160,461946
JRC_GSW1_4_Monthlyhistory_Ghangara_2005-02_r4,0,4501,486882
JRC_GSW1_4_Monthlyhistory_Ghangara_2006-02_r4,0,718,492383
JRC_GSW1_4_Monthlyhistory_Ghangara_2007-02_r4,0,63926,428930
JRC_GSW1_4_Monthlyhistory_Ghangara_2008-02_r4,0,3186,489322
JRC_GSW1_4_Monthlyhistory_Ghangara_2009-02_r4,0,3807,486707
JRC_GSW1_4_Monthlyhistory_Ghangara_2010-02_r4,0,3587,487197
JRC_GSW1_4_Monthlyhistory_Ghangara_2011-02_r4,0,165302,327461
JRC_GSW1_4_Monthlyhistory_Ghangara_2012-02_r4,0,458626,39261
JRC_GSW1_4_Monthlyhistory_Ghangara_2013-02_r4,0,96632,393645
JRC_GSW1_4_Monthlyhistory_Ghangara_2014-02_r4,0,7296,481304
JRC_GSW1_4_Monthlyhistory_Ghangara_2015-02_r4,0,169444,327589
JRC_GSW1_4_Monthlyhistory_Ghangara_2016-02_r4,0,344,492505
JRC_GSW1_4_Monthlyhistory_Ghangara_2017-02_r4,0,567,492361
JRC_GSW1_4_Monthlyhistory_Ghangara_2018-02_r4,0,1486,490400
JRC_GSW1_4_Monthlyhistory_Ghangara_2019-02_r4,0,4574,485923
JRC_GSW1_4_Monthlyhistory_Ghangara_2020-02_r4,0,65480,425447
JRC_GSW1_4_Monthlyhistory_Ghangara_2021-02_r4,0,14605,477239
