Date_Reach,no-data: -1,non-water: 0,water: 1
JRC_GSW1_4_Monthlyhistory_Ghangara_1999-02_r3,0,500000,0
JRC_GSW1_4_Monthlyhistory_Ghangara_2000-02_r3,0,11540,478982
JRC_GSW1_4_Monthlyhistory_Ghangara_2001-02_r3,0,21092,471008
JRC_GSW1_4_Monthlyhistory_Ghangara_2002-02_r3,0,3374,484464
JRC_GSW1_4_Monthlyhistory_Ghangara_2003-02_r3,0,7477,483125
JRC_GSW1_4_Monthlyhistory_Ghangara_2004-02_r3,0,18911,468875
JRC_GSW1_4_Monthlyhistory_Ghangara_2005-02_r3,0,2301,486901
JRC_GSW1_4_Monthlyhistory_Ghangara_2006-02_r3,0,921,490812
JRC_GSW1_4_Monthlyhistory_Ghangara_2007-02_r3,0,21971,469387
JRC_GSW1_4_Monthlyhistory_Ghangara_2008-02_r3,0,3725,487839
JRC_GSW1_4_Monthlyhistory_Ghangara_2009-02_r3,0,4455,484481
JRC_GSW1_4_Monthlyhistory_Ghangara_2010-02_r3,0,3739,486641
JRC_GSW1_4_Monthlyhistory_Ghangara_2011-02_r3,0,95631,396566
JRC_GSW1_4_Monthlyhistory_Ghangara_2012-02_r3,0,433865,63737
JRC_GSW1_4_Monthlyhistory_Ghangara_2013-02_r3,0,55971,432520
JRC_GSW1_4_Monthlyhistory_Ghangara_2014-02_r3,0,7664,478931
JRC_GSW1_4_Monthlyhistory_Ghangara_2015-02_r3,0,146806,350436
JRC_GSW1_4_Monthlyhistory_Ghangara_2016-02_r3,0,450,490306
JRC_GSW1_4_Monthlyhistory_Ghangara_2017-02_r3,0,666,490856
JRC_GSW1_4_Monthlyhistory_Ghangara_2018-02_r3,0,1905,488582
JRC_GSW1_4_Monthlyhistory_Ghangara_2019-02_r3,0,4342,484476
JRC_GSW1_4_Monthlyhistory_Ghangara_2020-02_r3,0,58610,431056
JRC_GSW1_4_Monthlyhistory_Ghangara_2021-02_r3,0,15977,474067
