Date_Reach,no-data: -1,non-water: 0,water: 1
JRC_GSW1_4_Monthlyhistory_Ganges_1999-02_r8,0,500000,0
JRC_GSW1_4_Monthlyhistory_Ganges_2000-02_r8,0,95910,375911
JRC_GSW1_4_Monthlyhistory_Ganges_2001-02_r8,0,8629,463100
JRC_GSW1_4_Monthlyhistory_Ganges_2002-02_r8,0,3380,470941
JRC_GSW1_4_Monthlyhistory_Ganges_2003-02_r8,0,28416,450617
JRC_GSW1_4_Monthlyhistory_Ganges_2004-02_r8,0,2137,466731
JRC_GSW1_4_Monthlyhistory_Ganges_2005-02_r8,0,48127,432516
JRC_GSW1_4_Monthlyhistory_Ganges_2006-02_r8,0,438,479500
JRC_GSW1_4_Monthlyhistory_Ganges_2007-02_r8,0,2137,472163
JRC_GSW1_4_Monthlyhistory_Ganges_2008-02_r8,0,10757,468372
JRC_GSW1_4_Monthlyhistory_Ganges_2009-02_r8,0,1395,473182
JRC_GSW1_4_Monthlyhistory_Ganges_2010-02_r8,0,1204,477580
JRC_GSW1_4_Monthlyhistory_Ganges_2011-02_r8,0,287880,194148
JRC_GSW1_4_Monthlyhistory_Ganges_2012-02_r8,0,38260,439224
JRC_GSW1_4_Monthlyhistory_Ganges_2013-02_r8,0,67335,404612
JRC_GSW1_4_Monthlyhistory_Ganges_2014-02_r8,0,64316,411564
JRC_GSW1_4_Monthlyhistory_Ganges_2015-02_r8,0,5104,474565
JRC_GSW1_4_Monthlyhistory_Ganges_2016-02_r8,0,2066,479766
JRC_GSW1_4_Monthlyhistory_Ganges_2017-02_r8,0,689,472486
JRC_GSW1_4_Monthlyhistory_Ganges_2018-02_r8,0,55156,425379
JRC_GSW1_4_Monthlyhistory_Ganges_2019-02_r8,0,5378,471946
JRC_GSW1_4_Monthlyhistory_Ganges_2020-02_r8,0,31598,446022
JRC_GSW1_4_Monthlyhistory_Ganges_2021-02_r8,0,22919,454047
