Date_Reach,no-data: -1,non-water: 0,water: 1
JRC_GSW1_4_Monthlyhistory_Ganges_1999-02_r7,0,500000,0
JRC_GSW1_4_Monthlyhistory_Ganges_2000-02_r7,0,185114,281127
JRC_GSW1_4_Monthlyhistory_Ganges_2001-02_r7,0,12146,453577
JRC_GSW1_4_Monthlyhistory_Ganges_2002-02_r7,0,3248,462947
JRC_GSW1_4_Monthlyhistory_Ganges_2003-02_r7,0,23902,450074
JRC_GSW1_4_Monthlyhistory_Ganges_2004-02_r7,0,3316,461549
JRC_GSW1_4_Monthlyhistory_Ganges_2005-02_r7,0,86052,392311
JRC_GSW1_4_Monthlyhistory_Ganges_2006-02_r7,0,276,475571
JRC_GSW1_4_Monthlyhistory_Ganges_2007-02_r7,0,2524,469390
JRC_GSW1_4_Monthlyhistory_Ganges_2008-02_r7,0,16688,458482
JRC_GSW1_4_Monthlyhistory_Ganges_2009-02_r7,0,1701,466219
JRC_GSW1_4_Monthlyhistory_Ganges_2010-02_r7,0,1558,471304
JRC_GSW1_4_Monthlyhistory_Ganges_2011-02_r7,0,341632,135915
JRC_GSW1_4_Monthlyhistory_Ganges_2012-02_r7,0,87597,388325
JRC_GSW1_4_Monthlyhistory_Ganges_2013-02_r7,0,109637,361348
JRC_GSW1_4_Monthlyhistory_Ganges_2014-02_r7,0,109734,363082
JRC_GSW1_4_Monthlyhistory_Ganges_2015-02_r7,0,13087,468691
JRC_GSW1_4_Monthlyhistory_Ganges_2016-02_r7,0,2696,476149
JRC_GSW1_4_Monthlyhistory_Ganges_2017-02_r7,0,800,469339
JRC_GSW1_4_Monthlyhistory_Ganges_2018-02_r7,0,79778,401634
JRC_GSW1_4_Monthlyhistory_Ganges_2019-02_r7,0,8264,465065
JRC_GSW1_4_Monthlyhistory_Ganges_2020-02_r7,0,84285,390218
JRC_GSW1_4_Monthlyhistory_Ganges_2021-02_r7,0,56462,416333
