X,Y,fid,id,vertex_index,vertex_part,vertex_part_ring,vertex_part_index,distance,angle
71.54057985802,32.2744397833716,"1","1","0","0","0","0",0,180
71.1596936437087,31.8935535690603,"2","1","1","0","0","1",0.53865444999999,270
70.9694368485833,32.0838103641857,"3","1","2","0","0","2",0.80771819,0
71.3503230628946,32.464696578497,"4","1","3","0","0","3",1.34637263999999,90
71.54057985802,32.2744397833716,"5","1","4","0","0","4",1.61543638,180
71.3693972499099,32.1015280580078,"6","2","0","0","0","0",0,180
70.9885110355985,31.7206418436965,"7","2","1","0","0","1",0.53865444999999,270
70.7982542404731,31.9108986388219,"8","2","2","0","0","2",0.80771819,0
71.1791404547844,32.2917848531332,"9","2","3","0","0","3",1.34637263999999,90
71.3693972499099,32.1015280580078,"10","2","4","0","0","4",1.61543638,180
71.0419876553204,31.9556538814918,"11","3","0","0","0","0",0,135
71.0419876553204,31.4169994314918,"12","3","1","0","0","1",0.53865445,225
70.7729239153204,31.4169994314918,"13","3","2","0","0","2",0.80771819,315
70.7729239153204,31.9556538814918,"14","3","3","0","0","3",1.34637264,45
71.0419876553204,31.9556538814918,"15","3","4","0","0","4",1.61543638000001,135
70.9503444408776,31.7282749626384,"16","4","0","0","0","0",0,135
70.9503444408776,31.1896205126384,"17","4","1","0","0","1",0.53865445,225
70.6812807008776,31.1896205126384,"18","4","2","0","0","2",0.80771819,315
70.6812807008776,31.7282749626384,"19","4","3","0","0","3",1.34637264,45
70.9503444408776,31.7282749626384,"20","4","4","0","0","4",1.61543638000001,135
70.943427971863,31.4204920914908,"21","5","0","0","0","0",0,135
70.943427971863,30.8818376414908,"22","5","1","0","0","1",0.53865445,225
70.674364231863,30.8818376414908,"23","5","2","0","0","2",0.80771819,315
70.674364231863,31.4204920914908,"24","5","3","0","0","3",1.34637264,45
70.943427971863,31.4204920914908,"25","5","4","0","0","4",1.61543638000001,135
70.943427971863,31.1857644243094,"26","6","0","0","0","0",0,135
70.943427971863,30.6471099743094,"27","6","1","0","0","1",0.53865445,225
70.674364231863,30.6471099743094,"28","6","2","0","0","2",0.80771819,315
70.674364231863,31.1857644243094,"29","6","3","0","0","3",1.34637264,45
70.943427971863,31.1857644243094,"30","6","4","0","0","4",1.61543638000001,135
70.943427971863,30.8896530946239,"31","7","0","0","0","0",0,135
70.943427971863,30.3509986446239,"32","7","1","0","0","1",0.53865445,225
70.674364231863,30.3509986446239,"33","7","2","0","0","2",0.80771819,315
70.674364231863,30.8896530946239,"34","7","3","0","0","3",1.34637264,45
70.943427971863,30.8896530946239,"35","7","4","0","0","4",1.61543638000001,135
70.9538026753848,30.6441184446073,"36","8","0","0","0","0",0,135
70.9538026753848,30.1054639946073,"37","8","1","0","0","1",0.53865445,225
70.6847389353848,30.1054639946073,"38","8","2","0","0","2",0.80771819,315
70.6847389353848,30.6441184446073,"39","8","3","0","0","3",1.34637264,45
70.9538026753848,30.6441184446073,"40","8","4","0","0","4",1.61543638000001,135
70.9468862063703,30.353626745996,"41","9","0","0","0","0",0,135
70.9468862063703,29.814972295996,"42","9","1","0","0","1",0.53865445,225
70.6778224663703,29.814972295996,"43","9","2","0","0","2",0.80771819,315
70.6778224663703,30.353626745996,"44","9","3","0","0","3",1.34637264,45
70.9468862063703,30.353626745996,"45","9","4","0","0","4",1.61543638000001,135
70.8673468127029,30.0423856403412,"46","10","0","0","0","0",0,135
70.8673468127029,29.5037311903412,"47","10","1","0","0","1",0.53865445,225
70.5982830727029,29.5037311903412,"48","10","2","0","0","2",0.80771819,315
70.5982830727029,30.0423856403412,"49","10","3","0","0","3",1.34637264,45
70.8673468127029,30.0423856403412,"50","10","4","0","0","4",1.61543638000001,135
70.8777215162248,29.7652946004456,"51","11","0","0","0","0",0,135
70.8777215162248,29.2266401504456,"52","11","1","0","0","1",0.53865445,225
70.6086577762248,29.2266401504456,"53","11","2","0","0","2",0.80771819,315
70.6086577762248,29.7652946004456,"54","11","3","0","0","3",1.34637264,45
70.8777215162248,29.7652946004456,"55","11","4","0","0","4",1.61543638000001,135
70.8472038393111,29.1728357096581,"56","12","0","0","0","0",0,180.000000000001
70.4663176249998,28.7919494953468,"57","12","1","0","0","1",0.53865444999999,270
70.2760608298744,28.9822062904723,"58","12","2","0","0","2",0.80771819,4.1e-13
70.6569470441857,29.3630925047836,"59","12","3","0","0","3",1.34637264000001,90.0000000000015
70.8472038393111,29.1728357096581,"60","12","4","0","0","4",1.61543638000001,180.000000000001
70.6552718241573,29.0068404533089,"61","13","0","0","0","0",0,180.000000000001
70.274385609846,28.6259542389976,"62","13","1","0","0","1",0.53865444999999,270
70.0841288147206,28.816211034123,"63","13","2","0","0","2",0.80771819,4.1e-13
70.4650150290319,29.1970972484343,"64","13","3","0","0","3",1.34637264000001,90.0000000000015
70.6552718241573,29.0068404533089,"65","13","4","0","0","4",1.61543638000001,180.000000000001
70.5100259748517,28.8736984247787,"66","14","0","0","0","0",0,180.000000000001
70.1291397605404,28.4928122104674,"67","14","1","0","0","1",0.53865444999999,270
69.938882965415,28.6830690055929,"68","14","2","0","0","2",0.80771819,4.1e-13
70.3197691797263,29.0639552199042,"69","14","3","0","0","3",1.34637264000001,90.0000000000015
70.5100259748517,28.8736984247787,"70","14","4","0","0","4",1.61543638000001,180.000000000001
70.3198230769515,28.6990575821613,"71","15","0","0","0","0",0,180.000000000001
69.9389368626402,28.31817136785,"72","15","1","0","0","1",0.53865444999999,270
69.7486800675148,28.5084281629754,"73","15","2","0","0","2",0.80771819,4.1e-13
