X,Y,fid,id
71.2550083533016,32.1791250737787,"1","1"
71.0838257451915,32.0062133484149,"2","2"
70.9074557853204,31.6863266564918,"3","3"
70.8158125708776,31.4589477376384,"4","4"
70.808896101863,31.1511648664908,"5","5"
70.808896101863,30.9164371993094,"6","6"
70.808896101863,30.6203258696239,"7","7"
70.8192708053849,30.3747912196073,"8","8"
70.8123543363703,30.084299520996,"9","9"
70.7328149427029,29.7730584153412,"10","10"
70.7431896462248,29.4959673754456,"11","11"
70.5616323345928,29.0775210000652,"12","12"
70.369700319439,28.9115257437159,"13","13"
70.2244544701334,28.7783837151858,"14","14"
70.0342515722331,28.6037428725683,"15","15"
