Date_Reach,no-data: -1,non-water: 0,water: 1
JRC_GSW1_4_Monthlyhistory_Ganges_1999-01_r10,0,500000,0
JRC_GSW1_4_Monthlyhistory_Ganges_2000-01_r10,0,500000,0
JRC_GSW1_4_Monthlyhistory_Ganges_2001-01_r10,0,169936,312450
JRC_GSW1_4_Monthlyhistory_Ganges_2002-01_r10,0,415658,68693
JRC_GSW1_4_Monthlyhistory_Ganges_2003-01_r10,0,183154,301042
JRC_GSW1_4_Monthlyhistory_Ganges_2004-01_r10,0,331210,147216
JRC_GSW1_4_Monthlyhistory_Ganges_2005-01_r10,0,159258,316897
JRC_GSW1_4_Monthlyhistory_Ganges_2006-01_r10,0,228472,250292
JRC_GSW1_4_Monthlyhistory_Ganges_2007-01_r10,0,247429,231707
JRC_GSW1_4_Monthlyhistory_Ganges_2008-01_r10,0,267175,205616
JRC_GSW1_4_Monthlyhistory_Ganges_2009-01_r10,0,201071,265667
JRC_GSW1_4_Monthlyhistory_Ganges_2010-01_r10,0,386555,102779
JRC_GSW1_4_Monthlyhistory_Ganges_2011-01_r10,0,441773,37121
JRC_GSW1_4_Monthlyhistory_Ganges_2012-01_r10,0,435581,48655
JRC_GSW1_4_Monthlyhistory_Ganges_2013-01_r10,0,463468,17048
JRC_GSW1_4_Monthlyhistory_Ganges_2014-01_r10,0,451248,40658
JRC_GSW1_4_Monthlyhistory_Ganges_2015-01_r10,0,211214,285396
JRC_GSW1_4_Monthlyhistory_Ganges_2016-01_r10,0,314929,164282
JRC_GSW1_4_Monthlyhistory_Ganges_2017-01_r10,0,11896,463717
JRC_GSW1_4_Monthlyhistory_Ganges_2018-01_r10,0,422389,64697
JRC_GSW1_4_Monthlyhistory_Ganges_2019-01_r10,0,333663,142518
JRC_GSW1_4_Monthlyhistory_Ganges_2020-01_r10,0,158418,318139
JRC_GSW1_4_Monthlyhistory_Ganges_2021-01_r10,0,140770,327511
