Date_Reach,no-data: -1,non-water: 0,water: 1
JRC_GSW1_4_Monthlyhistory_Ganges_1999-01_r5,0,500000,0
JRC_GSW1_4_Monthlyhistory_Ganges_2000-01_r5,0,500000,0
JRC_GSW1_4_Monthlyhistory_Ganges_2001-01_r5,0,360647,102047
JRC_GSW1_4_Monthlyhistory_Ganges_2002-01_r5,0,500000,0
JRC_GSW1_4_Monthlyhistory_Ganges_2003-01_r5,0,493569,3717
JRC_GSW1_4_Monthlyhistory_Ganges_2004-01_r5,0,441184,32566
JRC_GSW1_4_Monthlyhistory_Ganges_2005-01_r5,0,282342,176931
JRC_GSW1_4_Monthlyhistory_Ganges_2006-01_r5,0,307441,163649
JRC_GSW1_4_Monthlyhistory_Ganges_2007-01_r5,0,323663,139406
JRC_GSW1_4_Monthlyhistory_Ganges_2008-01_r5,0,325870,137355
JRC_GSW1_4_Monthlyhistory_Ganges_2009-01_r5,0,339166,121179
JRC_GSW1_4_Monthlyhistory_Ganges_2010-01_r5,0,413253,67856
JRC_GSW1_4_Monthlyhistory_Ganges_2011-01_r5,0,462133,24107
JRC_GSW1_4_Monthlyhistory_Ganges_2012-01_r5,0,392188,77003
JRC_GSW1_4_Monthlyhistory_Ganges_2013-01_r5,0,468904,13012
JRC_GSW1_4_Monthlyhistory_Ganges_2014-01_r5,0,418566,48883
JRC_GSW1_4_Monthlyhistory_Ganges_2015-01_r5,0,461055,38171
JRC_GSW1_4_Monthlyhistory_Ganges_2016-01_r5,0,382937,85078
JRC_GSW1_4_Monthlyhistory_Ganges_2017-01_r5,0,194931,261326
JRC_GSW1_4_Monthlyhistory_Ganges_2018-01_r5,0,424661,58431
JRC_GSW1_4_Monthlyhistory_Ganges_2019-01_r5,0,68875,391552
JRC_GSW1_4_Monthlyhistory_Ganges_2020-01_r5,0,106604,351338
JRC_GSW1_4_Monthlyhistory_Ganges_2021-01_r5,0,411510,54709
