Date_Reach,no-data: -1,non-water: 0,water: 1
JRC_GSW1_4_Monthlyhistory_Ganges_1999-01_r4,0,500000,0
JRC_GSW1_4_Monthlyhistory_Ganges_2000-01_r4,0,500000,0
JRC_GSW1_4_Monthlyhistory_Ganges_2001-01_r4,0,331658,110653
JRC_GSW1_4_Monthlyhistory_Ganges_2002-01_r4,0,500000,0
JRC_GSW1_4_Monthlyhistory_Ganges_2003-01_r4,0,370818,96705
JRC_GSW1_4_Monthlyhistory_Ganges_2004-01_r4,0,389584,54577
JRC_GSW1_4_Monthlyhistory_Ganges_2005-01_r4,0,163282,278020
JRC_GSW1_4_Monthlyhistory_Ganges_2006-01_r4,0,135144,310818
JRC_GSW1_4_Monthlyhistory_Ganges_2007-01_r4,0,195461,248694
JRC_GSW1_4_Monthlyhistory_Ganges_2008-01_r4,0,261522,183411
JRC_GSW1_4_Monthlyhistory_Ganges_2009-01_r4,0,292287,149613
JRC_GSW1_4_Monthlyhistory_Ganges_2010-01_r4,0,252065,193053
JRC_GSW1_4_Monthlyhistory_Ganges_2011-01_r4,0,377765,75504
JRC_GSW1_4_Monthlyhistory_Ganges_2012-01_r4,0,183422,267340
JRC_GSW1_4_Monthlyhistory_Ganges_2013-01_r4,0,433967,17620
JRC_GSW1_4_Monthlyhistory_Ganges_2014-01_r4,0,154876,284873
JRC_GSW1_4_Monthlyhistory_Ganges_2015-01_r4,0,240237,222048
JRC_GSW1_4_Monthlyhistory_Ganges_2016-01_r4,0,299871,144448
JRC_GSW1_4_Monthlyhistory_Ganges_2017-01_r4,0,38405,398085
JRC_GSW1_4_Monthlyhistory_Ganges_2018-01_r4,0,272444,172732
JRC_GSW1_4_Monthlyhistory_Ganges_2019-01_r4,0,28649,414523
JRC_GSW1_4_Monthlyhistory_Ganges_2020-01_r4,0,65061,375358
JRC_GSW1_4_Monthlyhistory_Ganges_2021-01_r4,0,405628,49573
